STATE/UT,DISTRICT,Year,Murder,Assault on women,Kidnapping and Abduction,Dacoity,Robbery,Arson,Hurt,Prevention of atrocities (POA) Act,Protection of Civil Rights (PCR) Act,Other Crimes Against SCs
BIHAR,KISHANGANJ,2001,0,1,1,0,0,0,2,8,0,4

BIHAR,LAKHISARAI,2001,1,0,0,0,0,0,4,0,0,0

BIHAR,MADHEPURA,2001,0,0,0,0,0,1,4,0,0,0

BIHAR,MADHUBANI,2001,2,2,1,0,0,2,40,34,13,17

BIHAR,MOTIHARI,2001,7,2,0,0,0,1,36,13,0,16

BIHAR,MUNGER,2001,0,1,0,0,0,1,4,30,0,4

BIHAR,MUZAFFARPUR,2001,0,0,0,0,0,0,76,0,0,0

BIHAR,MUZAFFARPUR RLY.,2001,0,0,0,0,0,0,0,1,0,1

BIHAR,NALANDA,2001,1,1,0,0,0,0,11,33,21,29

BIHAR,NAUGACHIA,2001,0,0,0,0,0,0,4,4,0,0

BIHAR,NAWADAH,2001,1,0,0,0,0,0,4,2,0,0

BIHAR,PATNA,2001,0,0,0,0,0,0,7,14,0,8

BIHAR,PATNA RLY.,2001,0,0,0,0,0,0,0,0,0,0

BIHAR,PURNEA,2001,1,2,0,0,0,1,2,0,0,5

BIHAR,ROHTAS,2001,1,2,0,0,0,3,21,30,0,0

BIHAR,SAHARSA,2001,0,3,0,0,0,1,14,31,0,2

BIHAR,SAMASTIPUR,2001,0,8,0,0,0,0,2,0,0,0

BIHAR,SARAN,2001,0,1,0,0,0,0,5,17,0,11

BIHAR,SHEIKHPURA,2001,0,0,0,0,0,0,0,0,0,0

BIHAR,SHEOHAR,2001,0,0,0,0,0,0,0,0,0,10

BIHAR,SITAMARHI,2001,0,0,0,0,0,0,0,22,5,17

BIHAR,SIWAN,2001,0,0,0,0,0,0,0,0,0,15

BIHAR,SUPAUL,2001,0,0,0,0,0,0,0,2,0,0

BIHAR,VAISHALI,2001,0,0,3,0,0,2,0,50,15,0

BIHAR,TOTAL,2001,28,35,8,2,1,17,378,513,81,240

CHHATTISGARH,BALRAMPUR,2001,0,0,0,0,0,0,0,0,0,0

CHHATTISGARH,BILASPUR,2001,2,4,0,0,0,0,8,16,0,29

CHHATTISGARH,BIZAPUR,2001,0,0,0,0,0,0,0,0,0,0

CHHATTISGARH,DANTEWARA,2001,0,0,0,0,0,0,0,0,0,1

CHHATTISGARH,DHAMTARI,2001,0,3,0,0,0,0,0,0,0,5

CHHATTISGARH,DURG,2001,3,12,2,0,0,0,8,5,0,77

CHHATTISGARH,GRP RAIPUR,2001,0,0,0,0,0,0,0,0,0,0

CHHATTISGARH,JAGDALPUR,2001,0,1,0,0,0,0,1,0,1,6

CHHATTISGARH,JANJGIR,2001,0,2,0,0,0,0,3,0,0,16

CHHATTISGARH,JASHPUR,2001,0,0,0,0,0,0,0,0,0,6

CHHATTISGARH,KANKER,2001,0,1,0,0,0,0,0,0,0,2

CHHATTISGARH,KORBA,2001,0,6,2,0,0,0,19,38,0,0

CHHATTISGARH,KORIYA,2001,0,1,0,0,0,0,0,0,0,5

CHHATTISGARH,MAHASAMUND,2001,0,5,1,0,1,0,0,18,0,0

CHHATTISGARH,RAIGARH,2001,0,3,0,0,0,0,0,0,0,10

CHHATTISGARH,RAIPUR,2001,3,9,3,0,0,0,56,87,0,0

CHHATTISGARH,RAJNANDGAON,2001,0,0,0,0,0,0,0,0,0,0

CHHATTISGARH,SARGUJA,2001,0,5,0,0,0,0,6,0,0,9

CHHATTISGARH,TOTAL,2001,8,52,8,0,1,0,101,164,1,166

GOA,NORTH GOA,2001,0,0,0,0,0,0,0,1,0,0

GOA,SOUTH GOA,2001,0,0,0,0,0,0,0,0,0,0

GOA,TOTAL,2001,0,0,0,0,0,0,0,1,0,0

GUJARAT,AHMEDABAD COMMR.,2001,2,1,4,0,0,0,33,0,3,3

GUJARAT,AHMEDABAD RURAL,2001,0,1,0,0,0,0,3,24,0,45

GUJARAT,AHWA-DANG,2001,0,0,0,0,0,0,0,0,0,0

GUJARAT,AMRELI,2001,2,0,1,0,0,1,19,28,0,44

GUJARAT,ANAND,2001,0,0,0,0,0,0,6,4,12,10

GUJARAT,BHARUCH,2001,0,0,0,0,0,0,6,10,0,0

GUJARAT,BHAVNAGAR,2001,3,1,1,0,2,1,10,17,0,24

GUJARAT,DAHOD,2001,0,0,0,6,8,0,1,6,0,8

GUJARAT,GANDHINAGAR,2001,1,0,0,0,1,0,8,0,0,25

GUJARAT,HIMATNAGAR,2001,0,1,0,0,0,0,7,21,0,21

GUJARAT,JAMNAGAR,2001,0,2,0,0,1,0,14,6,0,30

GUJARAT,JUNAGADH,2001,1,0,3,0,2,0,7,13,0,0

GUJARAT,KHEDA NORTH,2001,0,0,1,1,0,1,1,37,0,8

GUJARAT,KUTCH,2001,0,2,2,0,1,0,42,6,0,9

GUJARAT,MEHSANA,2001,2,0,3,1,0,1,8,44,0,29

GUJARAT,NARMADA,2001,0,0,0,0,0,0,0,1,0,0

GUJARAT,NAVSARI,2001,0,0,0,0,0,0,0,0,0,0

GUJARAT,PALANPUR,2001,1,2,0,0,0,2,2,58,0,94

GUJARAT,PANCHMAHAL,2001,0,0,0,0,0,0,1,8,0,20

GUJARAT,PATAN,2001,0,1,1,0,1,0,12,0,0,44

GUJARAT,PORBANDAR,2001,0,0,0,0,0,0,2,4,1,6

GUJARAT,RAJKOT COMMR.,2001,1,0,0,0,0,0,3,18,0,14

GUJARAT,RAJKOT RURAL,2001,1,2,0,0,1,1,39,6,0,8

GUJARAT,SURAT COMMR.,2001,0,1,1,0,0,0,6,13,0,4

GUJARAT,SURAT RURAL,2001,0,0,0,0,0,0,0,3,0,3

GUJARAT,SURENDRANAGAR,2001,1,0,0,0,0,2,53,10,0,22

GUJARAT,VADODARA COMMR.,2001,2,0,2,0,0,0,1,6,0,8

GUJARAT,VADODARA RURAL,2001,0,1,1,0,0,0,0,6,0,11

GUJARAT,VALSAD,2001,0,0,0,0,0,0,0,6,0,6

GUJARAT,W.RLY,2001,0,0,0,0,0,0,0,1,0,4

GUJARAT,TOTAL,2001,17,15,20,8,17,9,284,356,16,500

HARYANA,AMBALA,2001,2,0,1,0,0,0,10,1,0,0

HARYANA,BHIWANI,2001,0,0,0,0,0,0,0,0,0,3

HARYANA,FARIDABAD,2001,0,0,0,0,0,0,0,5,0,5

HARYANA,FATEHABAD,2001,1,3,3,0,0,0,6,1,0,7

HARYANA,GRP,2001,0,0,0,0,0,0,0,0,1,0

HARYANA,GURGAON,2001,0,1,0,0,0,0,1,1,0,2

HARYANA,HISAR,2001,0,0,0,0,0,0,8,1,0,0

HARYANA,JHAJJAR,2001,0,0,0,0,0,0,7,0,0,1

HARYANA,JIND,2001,1,2,1,0,0,0,2,4,0,0

HARYANA,KAITHAL,2001,0,0,0,0,0,0,0,3,0,3

HARYANA,KARNAL,2001,1,2,3,0,0,0,6,0,0,5

HARYANA,KURUKSHETRA,2001,1,3,0,0,0,0,0,6,0,8

HARYANA,MAHENDERGARH,2001,0,1,3,0,0,1,5,5,0,8

HARYANA,PANCHKULA,2001,0,0,0,0,0,0,0,2,0,2

HARYANA,PANIPAT,2001,0,4,0,0,0,0,5,1,0,4

HARYANA,REWARI,2001,0,0,1,0,0,1,2,0,0,0

HARYANA,ROHTAK,2001,0,4,0,0,0,0,1,0,0,9

HARYANA,SIRSA,2001,0,3,2,0,0,1,11,1,0,3

HARYANA,SONIPAT,2001,1,2,0,0,0,1,9,1,0,4

HARYANA,YAMUNANAGAR,2001,0,0,1,0,0,1,3,1,0,3

HARYANA,TOTAL,2001,7,25,15,0,0,5,76,33,1,67

HIMACHAL PRADESH,BILASPUR,2001,0,0,0,0,0,0,0,8,0,5

HIMACHAL PRADESH,CHAMBA,2001,0,0,0,0,0,0,0,2,0,2

HIMACHAL PRADESH,G.R.P.,2001,0,0,0,0,0,0,0,0,0,0

HIMACHAL PRADESH,HAMIRPUR,2001,0,0,0,0,0,0,0,2,0,2

HIMACHAL PRADESH,KANGRA,2001,1,4,0,0,0,0,0,3,0,9

HIMACHAL PRADESH,KINNAUR,2001,0,1,0,0,0,0,0,0,0,0

HIMACHAL PRADESH,KULLU,2001,0,1,0,0,0,0,0,0,0,0

HIMACHAL PRADESH,LAHAUL-SPITI,2001,0,0,0,0,0,0,0,0,0,0

HIMACHAL PRADESH,MANDI,2001,0,1,0,0,0,0,0,2,0,2

HIMACHAL PRADESH,SHIMLA,2001,0,0,0,0,0,0,0,19,2,23

HIMACHAL PRADESH,SIRMAUR,2001,0,0,0,0,0,0,0,1,2,3

HIMACHAL PRADESH,SOLAN,2001,0,0,0,0,0,0,0,0,0,2

HIMACHAL PRADESH,UNA,2001,0,0,0,0,0,0,1,4,0,8

HIMACHAL PRADESH,TOTAL,2001,1,7,0,0,0,0,1,41,4,56

JAMMU & KASHMIR,ANANTNAG,2001,0,0,0,0,0,0,0,0,0,0

JAMMU & KASHMIR,ANANTNAG,2001,0,0,0,0,0,0,0,0,0,0

JAMMU & KASHMIR,AWANTIPORA,2001,0,0,0,0,0,0,0,0,0,0

JAMMU & KASHMIR,BARAMULLA,2001,0,0,0,0,0,0,0,0,0,0

JAMMU & KASHMIR,BORDER,2001,0,0,0,0,0,0,0,0,0,0

JAMMU & KASHMIR,BUDGAM,2001,0,0,0,0,0,0,0,0,0,0

JAMMU & KASHMIR,CRIME JAMMU,2001,0,0,0,0,0,0,0,0,0,0

JAMMU & KASHMIR,CRIME SRINAGAR,2001,0,0,0,0,0,0,0,0,0,0

JAMMU & KASHMIR,DODA,2001,0,0,0,0,0,0,0,0,0,0

JAMMU & KASHMIR,GANDERBAL,2001,0,0,0,0,0,0,0,0,0,0

JAMMU & KASHMIR,JAMMU,2001,0,0,0,0,0,0,0,0,0,0

JAMMU & KASHMIR,KARGIL,2001,0,0,0,0,0,0,0,0,0,0

JAMMU & KASHMIR,KATHUA,2001,0,0,0,0,0,0,0,0,0,0

JAMMU & KASHMIR,KULGAM,2001,0,0,0,0,0,0,0,0,0,0

JAMMU & KASHMIR,KUPWARA,2001,0,0,0,0,0,0,0,0,0,0

JAMMU & KASHMIR,LEH,2001,0,0,0,0,0,0,0,0,0,0

JAMMU & KASHMIR,POONCH,2001,0,0,0,0,0,0,0,0,0,0

JAMMU & KASHMIR,PULWAMA,2001,0,0,0,0,0,0,0,0,0,0

JAMMU & KASHMIR,RAILWAYS,2001,0,0,0,0,0,0,0,0,0,0

JAMMU & KASHMIR,RAJOURI,2001,0,0,0,0,0,0,0,0,0,0

JAMMU & KASHMIR,RAMBAN,2001,0,0,0,0,0,0,0,0,0,0

JAMMU & KASHMIR,REASI,2001,1,1,0,0,0,0,0,0,0,0

JAMMU & KASHMIR,SRINAGAR,2001,0,0,0,0,0,0,0,0,0,0

JAMMU & KASHMIR,UDHAMPUR,2001,0,0,0,0,0,0,5,0,0,3

JAMMU & KASHMIR,TOTAL,2001,1,1,0,0,0,0,5,0,0,3

JHARKHAND,BOKARO,2001,0,0,0,0,0,0,0,0,0,2

JHARKHAND,CHAIBASA,2001,0,0,0,0,0,0,0,0,0,0

JHARKHAND,CHATRA,2001,1,1,0,0,0,0,0,0,0,0

JHARKHAND,DEOGHAR,2001,0,0,0,0,0,0,0,0,0,0

JHARKHAND,DHANBAD,2001,0,0,0,0,0,0,0,0,0,0

JHARKHAND,DHANBAD RLY.,2001,0,0,0,0,0,0,0,0,0,0

JHARKHAND,DUMKA,2001,2,2,2,0,0,0,10,25,0,14

JHARKHAND,GARHWA,2001,0,0,0,0,0,0,7,0,0,3

JHARKHAND,GIRIDIH,2001,0,1,0,0,0,0,1,0,0,3

JHARKHAND,GODDA,2001,0,0,0,0,0,0,0,0,0,0

JHARKHAND,GUMALA,2001,0,1,0,0,0,0,0,0,0,0

JHARKHAND,HAZARIBAGH,2001,0,0,2,0,0,1,11,0,0,0

JHARKHAND,JAMSHEDPUR,2001,0,2,0,0,0,0,5,10,0,0

JHARKHAND,JAMSHEDPUR RLY.,2001,0,0,0,0,0,0,0,0,0,0

JHARKHAND,JAMTARA,2001,0,0,0,0,0,0,1,0,0,3

JHARKHAND,KODERMA,2001,0,1,0,0,0,0,0,0,0,1

JHARKHAND,LATEHAR,2001,0,0,0,0,0,0,0,0,0,0

JHARKHAND,LOHARDAGGA,2001,0,0,0,0,0,0,0,0,0,0

JHARKHAND,PAKUR,2001,0,0,0,0,0,0,0,0,0,0

JHARKHAND,PALAMU,2001,0,0,0,0,0,1,2,0,0,1

JHARKHAND,RANCHI,2001,3,3,0,1,0,0,0,0,0,35

JHARKHAND,SAHEBGANJ,2001,0,0,0,0,0,0,0,0,0,0

JHARKHAND,SARAIKELA,2001,0,0,0,0,0,0,0,0,0,0

JHARKHAND,SIMDEGA,2001,0,0,0,0,0,0,0,0,0,0

JHARKHAND,TOTAL,2001,6,11,4,1,0,2,37,35,0,62

KARNATAKA,BAGALKOT,2001,3,1,1,0,0,0,8,25,0,12

KARNATAKA,BANGALORE COMMR.,2001,1,1,0,0,0,0,12,72,8,0

KARNATAKA,BANGALORE RURAL,2001,2,3,0,0,0,0,21,14,0,24

KARNATAKA,BELGAUM,2001,0,0,0,0,0,0,0,43,1,0

KARNATAKA,BELLARY,2001,0,0,0,0,0,0,0,61,10,0

KARNATAKA,BIDAR,2001,0,0,0,0,0,0,0,33,1,0

KARNATAKA,BIJAPUR,2001,0,3,0,0,0,0,36,44,0,5

KARNATAKA,CHAMARAJNAGAR,2001,0,0,0,0,0,0,0,32,0,32

KARNATAKA,CHICKMAGALUR,2001,2,1,0,0,0,0,6,30,0,0

KARNATAKA,CHITRADURGA,2001,1,2,0,0,0,0,13,36,8,23

KARNATAKA,DAKSHIN KANNADA,2001,1,0,0,0,0,0,0,9,0,0

KARNATAKA,DAVANAGERE,2001,0,2,0,0,0,0,8,45,2,46

KARNATAKA,DHARWAD COMMR.,2001,0,0,0,0,0,0,0,13,0,0

KARNATAKA,DHARWAD RURAL,2001,5,0,0,0,0,0,11,16,0,1

KARNATAKA,GADAG,2001,0,0,0,0,0,0,0,8,0,0

KARNATAKA,GULBARGA,2001,2,1,0,0,0,0,23,75,3,61

KARNATAKA,HASSAN,2001,0,0,0,0,0,0,26,42,1,11

KARNATAKA,HAVERI,2001,0,0,0,0,0,0,0,24,0,24

KARNATAKA,K.G.F.,2001,0,0,0,0,0,0,0,5,0,0

KARNATAKA,KODAGU,2001,0,0,0,0,0,0,0,7,0,0

KARNATAKA,KOLAR,2001,2,1,0,0,0,0,0,51,6,60

KARNATAKA,KOPPAL,2001,0,0,0,0,0,0,0,64,3,0

KARNATAKA,MANDYA,2001,0,0,0,0,0,0,0,34,0,0

KARNATAKA,MYSORE COMMR.,2001,0,0,0,0,0,0,1,0,2,0

KARNATAKA,MYSORE RURAL,2001,0,0,0,0,3,0,0,31,1,0

KARNATAKA,RAICHUR,2001,1,2,0,0,0,0,0,82,40,1

KARNATAKA,RAILWAYS,2001,0,0,0,0,0,0,0,0,0,0

KARNATAKA,SHIMOGA,2001,0,1,0,0,0,0,16,22,0,5

KARNATAKA,TUMKUR,2001,1,2,0,0,0,0,0,44,8,1

KARNATAKA,UDUPI,2001,1,0,0,1,0,0,0,12,0,10

KARNATAKA,UTTAR KANNADA,2001,0,0,0,0,0,0,0,9,0,0

KARNATAKA,TOTAL,2001,22,20,1,1,3,0,181,983,94,316

KERALA,ALAPUZHA,2001,0,0,0,0,0,0,7,21,0,0

KERALA,CBCID,2001,0,0,0,0,0,0,0,0,0,0

KERALA,ERNAKULAM,2001,1,5,0,0,0,1,18,0,0,16

KERALA,IDUKKI,2001,0,3,0,0,0,0,4,7,0,0

KERALA,KANNUR,2001,0,3,0,0,0,0,12,2,0,16

KERALA,KASARGOD,2001,0,8,0,0,0,0,1,5,0,8

KERALA,KOLLAM,2001,0,9,0,0,0,1,13,6,0,9

KERALA,KOTTAYAM,2001,0,2,0,0,0,0,0,30,0,0

KERALA,KOZHIKODE,2001,0,5,0,0,0,0,8,15,0,10

KERALA,MALAPPURAM,2001,0,6,0,0,0,0,21,3,0,20

KERALA,PALAKKAD,2001,2,14,0,0,0,0,40,10,0,11

KERALA,PATHANAMTHITTA,2001,0,3,0,0,0,0,10,5,0,2

KERALA,RAILWAYS,2001,0,1,0,0,0,0,0,0,0,2

KERALA,THRISSUR,2001,2,8,0,0,0,0,19,13,0,9

KERALA,TRIVANDRUM,2001,0,6,0,0,0,0,13,4,0,18

KERALA,WAYANADU,2001,0,2,0,0,0,0,3,0,0,6

KERALA,TOTAL,2001,5,75,0,0,0,2,169,121,0,127

MADHYA PRADESH,BALAGHAT,2001,1,10,1,0,0,0,10,29,0,12

MADHYA PRADESH,BARWANI,2001,0,0,0,0,0,0,20,12,0,13

MADHYA PRADESH,BETUL,2001,1,6,2,0,0,0,5,0,0,4

MADHYA PRADESH,BHIND,2001,3,0,0,0,0,3,14,0,0,103

MADHYA PRADESH,BHOPAL,2001,1,10,0,0,0,0,25,69,0,80

MADHYA PRADESH,BHOPAL RLY.,2001,0,0,1,0,0,0,0,2,0,0

MADHYA PRADESH,CHHATARPUR,2001,2,13,0,1,0,2,50,0,0,57

MADHYA PRADESH,CHHINDWARA,2001,0,11,1,0,0,0,8,0,0,22

MADHYA PRADESH,DAMOH,2001,0,0,0,0,0,0,0,0,0,0

MADHYA PRADESH,DATIYA,2001,4,3,0,0,2,0,13,50,0,110

MADHYA PRADESH,DEWAS,2001,0,0,0,0,0,0,0,0,0,0

MADHYA PRADESH,DHAR,2001,1,5,0,0,0,0,14,0,0,0

MADHYA PRADESH,DINDORI,2001,0,1,0,0,0,0,2,1,0,0

MADHYA PRADESH,GUNA,2001,1,18,0,0,0,1,24,2,0,156

MADHYA PRADESH,GWALIOR,2001,5,11,4,0,2,4,30,36,0,175

MADHYA PRADESH,HARDA,2001,2,4,1,0,0,0,1,0,0,19

MADHYA PRADESH,HOSHANGABAD,2001,3,7,2,0,0,1,25,0,0,3

MADHYA PRADESH,INDORE,2001,0,2,0,0,0,0,4,5,0,27

MADHYA PRADESH,INDORE RLY.,2001,1,1,0,0,0,0,0,0,0,0

MADHYA PRADESH,JABALPUR,2001,2,8,0,0,0,0,8,0,0,20

MADHYA PRADESH,JABALPUR RLY.,2001,0,0,0,0,0,0,0,0,0,0

MADHYA PRADESH,JHABUA,2001,0,0,0,0,0,0,0,0,0,0

MADHYA PRADESH,KATNI,2001,0,3,0,0,0,0,1,0,0,1

MADHYA PRADESH,KHANDWA,2001,4,1,0,0,0,0,136,0,0,60

MADHYA PRADESH,KHARGON,2001,0,0,0,0,0,0,0,0,0,0

MADHYA PRADESH,MANDLA,2001,1,1,0,0,0,0,6,20,0,0

MADHYA PRADESH,MANDSAUR,2001,1,1,0,0,0,0,16,0,0,89

MADHYA PRADESH,MORENA,2001,3,7,2,0,2,2,18,0,0,170

MADHYA PRADESH,NARSINGHPUR,2001,0,11,0,0,0,1,13,0,0,52

MADHYA PRADESH,NEEMUCH,2001,0,2,0,0,0,0,0,0,0,9

MADHYA PRADESH,PANNA,2001,3,7,0,0,0,1,4,76,0,77

MADHYA PRADESH,RAISEN,2001,0,0,0,0,0,0,0,0,0,0

MADHYA PRADESH,RAJGARH,2001,3,20,2,0,0,3,19,26,0,197

MADHYA PRADESH,RATLAM,2001,1,10,0,0,0,1,18,0,0,70

MADHYA PRADESH,REWA,2001,1,2,0,0,0,2,16,11,0,42

MADHYA PRADESH,SAGAR,2001,3,18,0,0,0,4,21,20,0,109

MADHYA PRADESH,SATNA,2001,4,8,0,0,1,4,24,0,0,115

