,Name,Type,Score,Score Rank,Popularity Rank,Air Date,Studio,Num. of episodes,Genres,Theme(s),Demographic
10,Ginga Eiyuu Densetsu,OVA,9.03,11,697,"Jan 8, 1988 to Mar 17, 1997","['K-Factory', '            Kitty Film Mitaka Studio']",110,"['Drama', 'Sci-Fi']","['Adult Cast', 'Military', 'Space']",None
11,Gintama.,TV,8.99,12,735,"Jan 9, 2017 to Mar 27, 2017",['Bandai Namco Pictures'],12,"['Action', 'Comedy', 'Sci-Fi']","['Gag Humor', 'Historical', 'Parody', 'Samurai']",Shounen
12,Kaguya-sama wa Kokurasetai: Ultra Romantic,TV,8.97,13,433,"Apr 9, 2022 to ?",['A-1 Pictures'],0,['Comedy'],"['Psychological', 'Romantic Subtext', 'School']",Seinen
13,3-gatsu no Lion 2nd Season,TV,8.96,14,535,"Oct 14, 2017 to Mar 31, 2018",['Shaft'],22,"['Drama', 'Slice of Life']","['Childcare', 'Iyashikei', 'Strategy Game']",Seinen
14,Koe no Katachi,Movie,8.96,15,19,"Sep 17, 2016",['Kyoto Animation'],1,['Drama'],['Romantic Subtext'],Shounen
15,Gintama,TV,8.95,16,127,"Apr 4, 2006 to Mar 25, 2010",['Sunrise'],201,"['Action', 'Comedy', 'Sci-Fi']","['Gag Humor', 'Historical', 'Parody', 'Samurai']",Shounen
16,Violet Evergarden Movie,Movie,8.95,17,424,"Sep 18, 2020",['Kyoto Animation'],1,"['Drama', 'Fantasy', 'Slice of Life']",['None'],None
17,Clannad: After Story,TV,8.94,18,103,"Oct 3, 2008 to Mar 27, 2009",['Kyoto Animation'],24,"['Comedy', 'Drama', 'Romance', 'Slice of Life', 'Supernatural']",['None'],None
18,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,Movie,8.93,19,939,"Jul 6, 2013",['Sunrise'],1,"['Action', 'Comedy', 'Sci-Fi']","['Gag Humor', 'Historical', 'Parody', 'Samurai', 'Time Travel']",Shounen
19,Code Geass: Hangyaku no Lelouch R2,TV,8.91,20,47,"Apr 6, 2008 to Sep 28, 2008",['Sunrise'],25,"['Action', 'Drama', 'Sci-Fi']","['Mecha', 'Military', 'Super Power']",None
20,Owarimonogatari 2nd Season,TV,8.90,21,538,"Aug 12, 2017 to Aug 13, 2017",['Shaft'],7,"['Comedy', 'Mystery', 'Supernatural']",['Vampire'],None
21,Shingeki no Kyojin: The Final Season Part 2,TV,8.90,22,164,"Jan 10, 2022 to Apr 4, 2022",['MAPPA'],12,"['Action', 'Drama']","['Gore', 'Military', 'Survival']",Shounen
22,Kimetsu no Yaiba: Yuukaku-hen,TV,8.89,23,161,"Dec 5, 2021 to Feb 13, 2022",['ufotable'],11,"['Action', 'Fantasy']",['Historical'],Shounen
23,Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,TV,8.88,24,1194,"Jul 9, 2018 to Oct 8, 2018",['Bandai Namco Pictures'],14,"['Action', 'Comedy', 'Sci-Fi']","['Gag Humor', 'Historical', 'Parody', 'Samurai']",Shounen
24,Kimi no Na wa.,Movie,8.87,25,11,"Aug 26, 2016",['CoMix Wave Films'],1,"['Drama', 'Supernatural']",['Romantic Subtext'],None
25,Shingeki no Kyojin: The Final Season,TV,8.85,26,46,"Dec 7, 2020 to Mar 29, 2021",['MAPPA'],16,"['Action', 'Drama']","['Gore', 'Military', 'Survival']",Shounen
26,Monster,TV,8.83,27,156,"Apr 7, 2004 to Sep 28, 2005",['Madhouse'],74,"['Drama', 'Mystery', 'Suspense']","['Adult Cast', 'Psychological']",Seinen
27,Mob Psycho 100 II,TV,8.81,28,85,"Jan 7, 2019 to Apr 1, 2019",['Bones'],13,"['Action', 'Comedy', 'Supernatural']",['Super Power'],None
28,Gintama.: Shirogane no Tamashii-hen,TV,8.81,29,1089,"Jan 8, 2018 to Mar 26, 2018",['Bandai Namco Pictures'],12,"['Action', 'Comedy', 'Sci-Fi']","['Gag Humor', 'Historical', 'Parody', 'Samurai']",Shounen
29,Kizumonogatari III: Reiketsu-hen,Movie,8.80,30,457,"Jan 6, 2017",['Shaft'],1,"['Action', 'Mystery', 'Supernatural']",['Vampire'],None
30,Shiguang Dailiren,ONA,8.80,31,973,"Apr 30, 2021 to Jul 9, 2021",['Studio LAN'],11,"['Drama', 'Supernatural']",['Time Travel'],None
31,Sen to Chihiro no Kamikakushi,Movie,8.79,32,43,"Jul 20, 2001",['Studio Ghibli'],1,"['Adventure', 'Award Winning', 'Supernatural']",['Mythology'],None
32,Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,TV,8.79,33,111,"Oct 8, 2016 to Dec 10, 2016",['Production I.G'],10,['Sports'],"['School', 'Team Sports']",Shounen
33,Kingdom 3rd Season,TV,8.78,34,2238,"Apr 6, 2020 to Oct 17, 2021","['Pierrot Plus', '            Studio Signpost']",26,['Action'],"['Historical', 'Military']",Seinen
34,Monogatari Series: Second Season,TV,8.78,35,272,"Jul 7, 2013 to Dec 29, 2013",['Shaft'],26,"['Comedy', 'Mystery', 'Romance', 'Supernatural']",['Vampire'],None
35,Cowboy Bebop,TV,8.76,36,42,"Apr 3, 1998 to Apr 24, 1999",['Sunrise'],26,"['Action', 'Sci-Fi']","['Adult Cast', 'Space']",None
36,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,TV,8.75,37,308,"Oct 4, 2021 to Dec 20, 2021",['Studio Bind'],12,"['Drama', 'Fantasy', 'Ecchi']","['Isekai', 'Reincarnation']",None
37,Odd Taxi,TV,8.75,38,647,"Apr 6, 2021 to Jun 29, 2021","['OLM', '            P.I.C.S.']",13,['Mystery'],['Anthropomorphic'],None
38,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,TV,8.75,39,1140,"Jan 7, 2017 to Mar 25, 2017",['Studio Deen'],12,['Drama'],"['Historical', 'Love Polygon', 'Performing Arts']",Josei
39,Mushishi Zoku Shou 2nd Season,TV,8.74,40,826,"Oct 19, 2014 to Dec 21, 2014",['Artland'],10,"['Adventure', 'Fantasy', 'Mystery', 'Slice of Life', 'Supernatural']","['Adult Cast', 'Historical', 'Iyashikei']",Seinen
40,Hajime no Ippo,TV,8.74,41,375,"Oct 4, 2000 to Mar 27, 2002",['Madhouse'],75,['Sports'],['Combat Sports'],Shounen
41,Vinland Saga,TV,8.73,42,102,"Jul 8, 2019 to Dec 30, 2019",['Wit Studio'],24,"['Action', 'Adventure', 'Drama']",['Historical'],Seinen
42,86 Part 2,TV,8.72,43,666,"Oct 3, 2021 to Mar 19, 2022",['A-1 Pictures'],12,"['Action', 'Drama', 'Sci-Fi']","['Mecha', 'Military']",None
43,Fate/stay night Movie: Heaven's Feel - III. Spring Song,Movie,8.72,44,727,"Aug 15, 2020",['ufotable'],1,"['Action', 'Fantasy', 'Supernatural']",['None'],None
44,Ashita no Joe 2,TV,8.71,45,2920,"Oct 13, 1980 to Aug 31, 1981",['Tokyo Movie Shinsha'],47,"['Action', 'Drama', 'Slice of Life', 'Sports']",['Combat Sports'],Shounen
45,Mushishi Zoku Shou,TV,8.71,46,728,"Apr 5, 2014 to Jun 21, 2014",['Artland'],10,"['Adventure', 'Fantasy', 'Mystery', 'Slice of Life', 'Supernatural']","['Adult Cast', 'Historical', 'Iyashikei']",Seinen
46,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,OVA,8.71,47,762,"Feb 20, 1999 to Sep 22, 1999",['Studio Deen'],4,"['Action', 'Drama', 'Romance']","['Adult Cast', 'Historical', 'Martial Arts', 'Samurai']",Shounen
47,Mo Dao Zu Shi: Wanjie Pian,ONA,8.70,48,2520,"Aug 7, 2021 to Oct 16, 2021",['B.CMAY PICTURES'],12,"['Action', 'Drama', 'Supernatural']","['Historical', 'Mythology']",None
48,Code Geass: Hangyaku no Lelouch,TV,8.70,49,17,"Oct 6, 2006 to Jul 29, 2007",['Sunrise'],25,"['Action', 'Drama', 'Sci-Fi']","['Mecha', 'Military', 'School', 'Super Power']",None
49,Great Teacher Onizuka,TV,8.69,50,215,"Jun 30, 1999 to Sep 17, 2000",['Studio Pierrot'],43,"['Comedy', 'Drama']","['Delinquents', 'School', 'Workplace']",Shounen
50,Jujutsu Kaisen (TV),TV,8.69,51,30,"Oct 3, 2020 to Mar 27, 2021",['MAPPA'],24,"['Action', 'Fantasy']",['School'],Shounen
51,Kingdom 4th Season,TV,8.69,52,4180,"Apr 10, 2022 to ?",['None'],0,['Action'],"['Historical', 'Military']",Seinen
52,Made in Abyss,TV,8.68,53,93,"Jul 7, 2017 to Sep 29, 2017",['Kinema Citrus'],13,"['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']",['None'],None
53,Made in Abyss Movie 3: Fukaki Tamashii no Reimei,Movie,8.68,54,587,"Jan 17, 2020",['Kinema Citrus'],1,"['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']",['None'],None
54,Mononoke Hime,Movie,8.68,55,101,"Jul 12, 1997",['Studio Ghibli'],1,"['Action', 'Adventure', 'Fantasy']",['None'],None
55,Mushishi,TV,8.67,56,200,"Oct 23, 2005 to Jun 19, 2006",['Artland'],26,"['Adventure', 'Fantasy', 'Mystery', 'Slice of Life', 'Supernatural']","['Adult Cast', 'Historical', 'Iyashikei']",Seinen
56,Ousama Ranking,TV,8.67,57,480,"Oct 15, 2021 to Mar 25, 2022",['Wit Studio'],23,"['Adventure', 'Fantasy']",['None'],None
57,Shigatsu wa Kimi no Uso,TV,8.67,58,22,"Oct 10, 2014 to Mar 20, 2015",['A-1 Pictures'],22,"['Drama', 'Romance']","['Music', 'School']",Shounen
58,Violet Evergarden,TV,8.67,59,52,"Jan 11, 2018 to Apr 5, 2018",['Kyoto Animation'],13,"['Drama', 'Fantasy', 'Slice of Life']",['None'],None
59,Kimetsu no Yaiba Movie: Mugen Ressha-hen,Movie,8.67,60,97,"Oct 16, 2020",['ufotable'],1,"['Action', 'Fantasy']",['Historical'],Shounen
60,Hajime no Ippo: New Challenger,TV,8.66,61,811,"Jan 7, 2009 to Jul 1, 2009",['Madhouse'],26,['Sports'],['Combat Sports'],Shounen
61,Howl no Ugoku Shiro,Movie,8.66,62,96,"Nov 20, 2004",['Studio Ghibli'],1,"['Adventure', 'Drama', 'Fantasy', 'Romance']",['None'],None
62,Evangelion: 3.0+1.0 Thrice Upon a Time,Movie,8.65,63,679,"Mar 8, 2021",['Khara'],1,"['Action', 'Drama', 'Sci-Fi']","['Mecha', 'Psychological']",None
63,Haikyuu!! Second Season,TV,8.65,64,83,"Oct 4, 2015 to Mar 27, 2016",['Production I.G'],25,['Sports'],"['School', 'Team Sports']",Shounen
64,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,TV,8.65,65,107,"Apr 11, 2020 to Jun 27, 2020",['A-1 Pictures'],12,['Comedy'],"['Psychological', 'Romantic Subtext', 'School']",Seinen
65,Natsume Yuujinchou Shi,TV,8.65,66,877,"Jan 3, 2012 to Mar 27, 2012","[""Brain's Base""]",13,"['Drama', 'Slice of Life', 'Supernatural']","['Iyashikei', 'Mythology']",Shoujo
66,Tengen Toppa Gurren Lagann,TV,8.64,67,59,"Apr 1, 2007 to Sep 30, 2007",['Gainax'],27,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",['Mecha'],None
67,Natsume Yuujinchou Roku,TV,8.63,68,1178,"Apr 12, 2017 to Jun 21, 2017",['Shuka'],11,"['Drama', 'Slice of Life', 'Supernatural']","['Iyashikei', 'Mythology']",Shoujo
68,One Piece,TV,8.63,69,26,"Oct 20, 1999 to ?",['Toei Animation'],0,"['Action', 'Adventure', 'Fantasy']",['None'],Shounen
69,Death Note,TV,8.63,70,2,"Oct 4, 2006 to Jun 27, 2007",['Madhouse'],37,"['Supernatural', 'Suspense']",['Psychological'],Shounen
70,Ping Pong the Animation,TV,8.62,71,548,"Apr 11, 2014 to Jun 20, 2014",['Tatsunoko Production'],11,"['Drama', 'Sports']",['None'],Seinen
71,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,Movie,8.62,72,299,"Jun 15, 2019",['CloverWorks'],1,"['Drama', 'Romance', 'Supernatural']",['School'],None
72,Shingeki no Kyojin Season 3,TV,8.62,73,20,"Jul 23, 2018 to Oct 15, 2018",['Wit Studio'],12,"['Action', 'Drama']","['Gore', 'Military', 'Survival']",Shounen
73,Suzumiya Haruhi no Shoushitsu,Movie,8.62,74,314,"Feb 6, 2010",['Kyoto Animation'],1,"['Mystery', 'Romance', 'Sci-Fi', 'Supernatural']","['School', 'Time Travel']",None
74,Mushishi Zoku Shou: Suzu no Shizuku,Movie,8.60,75,1553,"May 16, 2015",['Artland'],1,"['Adventure', 'Fantasy', 'Mystery', 'Slice of Life', 'Supernatural']","['Adult Cast', 'Historical', 'Iyashikei']",Seinen
75,Ookami Kodomo no Ame to Yuki,Movie,8.60,76,203,"Jul 21, 2012",['Studio Chizu'],1,"['Fantasy', 'Slice of Life']",['Childcare'],None
76,Kizumonogatari II: Nekketsu-hen,Movie,8.59,77,468,"Aug 19, 2016",['Shaft'],1,"['Action', 'Mystery', 'Supernatural']",['Vampire'],None
77,Hajime no Ippo: Rising,TV,8.58,78,909,"Oct 6, 2013 to Mar 29, 2014","['Madhouse', '            MAPPA']",25,['Sports'],['Combat Sports'],Shounen
78,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,TV,8.58,79,159,"Oct 6, 2018 to Jul 28, 2019",['David Production'],39,"['Action', 'Adventure']",['Organized Crime'],Shounen
79,Natsume Yuujinchou Go,TV,8.58,80,1187,"Oct 5, 2016 to Dec 21, 2016",['Shuka'],11,"['Drama', 'Slice of Life', 'Supernatural']","['Iyashikei', 'Mythology']",Shoujo
80,Natsume Yuujinchou San,TV,8.58,81,846,"Jul 5, 2011 to Sep 27, 2011","[""Brain's Base""]",13,"['Drama', 'Slice of Life', 'Supernatural']","['Iyashikei', 'Mythology']",Shoujo
81,Shoujo☆Kageki Revue Starlight Movie,Movie,8.58,82,5749,"Jun 4, 2021",['Kinema Citrus'],1,['None'],"['Music', 'Performing Arts', 'School']",None
82,Shouwa Genroku Rakugo Shinjuu,TV,8.58,83,742,"Jan 9, 2016 to Apr 2, 2016",['Studio Deen'],13,['Drama'],"['Historical', 'Love Polygon', 'Performing Arts']",Josei
83,Yojouhan Shinwa Taikei,TV,8.58,84,470,"Apr 23, 2010 to Jul 2, 2010",['Madhouse'],11,"['Comedy', 'Mystery', 'Romance']","['Psychological', 'Time Travel']",None
84,Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,Movie,8.57,85,999,"Apr 22, 2009",['Gainax'],1,"['Action', 'Sci-Fi']","['Mecha', 'Space', 'Super Power']",None
85,Fate/Zero 2nd Season,TV,8.57,86,119,"Apr 8, 2012 to Jun 24, 2012",['ufotable'],12,"['Action', 'Fantasy', 'Supernatural']",['None'],None
86,Fruits Basket 2nd Season,TV,8.57,87,464,"Apr 7, 2020 to Sep 22, 2020",['TMS Entertainment'],25,"['Comedy', 'Drama', 'Romance', 'Slice of Life', 'Supernatural']",['None'],Shoujo
87,Kimi no Suizou wo Tabetai,Movie,8.57,88,187,"Sep 1, 2018",['Studio VOLN'],1,"['Drama', 'Romance', 'Slice of Life']",['None'],None
88,Bakuman. 3rd Season,TV,8.55,89,623,"Oct 6, 2012 to Mar 30, 2013",['J.C.Staff'],25,"['Comedy', 'Drama', 'Romance']",['Otaku Culture'],Shounen
89,Kimetsu no Yaiba,TV,8.55,90,9,"Apr 6, 2019 to Sep 28, 2019",['ufotable'],26,"['Action', 'Fantasy']",['Historical'],Shounen
90,Mushishi: Hihamukage,Special,8.55,91,1457,"Jan 4, 2014",['Artland'],1,"['Adventure', 'Fantasy', 'Mystery', 'Slice of Life', 'Supernatural']","['Historical', 'Iyashikei']",Seinen
91,Neon Genesis Evangelion: The End of Evangelion,Movie,8.55,92,176,"Jul 19, 1997","['Gainax', '            Production I.G']",1,"['Avant Garde', 'Drama', 'Sci-Fi']","['Mecha', 'Psychological']",None
92,Yakusoku no Neverland,TV,8.55,93,39,"Jan 10, 2019 to Mar 29, 2019",['CloverWorks'],12,"['Mystery', 'Sci-Fi', 'Suspense']","['Psychological', 'Survival']",Shounen
93,Zoku Natsume Yuujinchou,TV,8.55,94,852,"Jan 6, 2009 to Mar 31, 2009","[""Brain's Base""]",13,"['Drama', 'Slice of Life', 'Supernatural']","['Iyashikei', 'Mythology']",Shoujo
94,Sora yori mo Tooi Basho,TV,8.54,95,415,"Jan 2, 2018 to Mar 27, 2018",['Madhouse'],13,"['Adventure', 'Comedy', 'Drama']",['None'],None
95,Yuru Camp△ Season 2,TV,8.54,96,1075,"Jan 7, 2021 to Apr 1, 2021",['C-Station'],13,"['Comedy', 'Slice of Life']","['CGDCT', 'Iyashikei']",None
96,Haikyuu!! To the Top 2nd Season,TV,8.54,97,246,"Oct 3, 2020 to Dec 19, 2020",['Production I.G'],12,['Sports'],"['School', 'Team Sports']",Shounen
97,Kara no Kyoukai 5: Mujun Rasen,Movie,8.54,98,893,"Aug 16, 2008",['ufotable'],1,"['Action', 'Drama', 'Mystery', 'Romance', 'Supernatural', 'Suspense']",['None'],None
98,Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,Movie,8.53,99,591,"Jan 12, 2019",['ufotable'],1,"['Action', 'Fantasy', 'Supernatural']",['None'],None
99,Gintama.: Porori-hen,TV,8.53,100,1118,"Oct 2, 2017 to Dec 25, 2017",['Bandai Namco Pictures'],13,"['Action', 'Comedy', 'Sci-Fi']","['Gag Humor', 'Historical', 'Parody', 'Samurai']",Shounen
100,Jujutsu Kaisen 0 Movie,Movie,8.53,101,496,"Dec 24, 2021",['MAPPA'],1,"['Action', 'Fantasy']",['School'],Shounen
101,Kenpuu Denki Berserk,TV,8.53,102,331,"Oct 8, 1997 to Apr 1, 1998",['OLM'],25,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Horror', 'Supernatural']","['Gore', 'Military', 'Mythology']",Seinen
102,Shingeki no Kyojin,TV,8.53,103,1,"Apr 7, 2013 to Sep 29, 2013",['Wit Studio'],25,"['Action', 'Drama']","['Gore', 'Military', 'Survival']",Shounen
103,Slam Dunk,TV,8.53,104,776,"Oct 16, 1993 to Mar 23, 1996",['Toei Animation'],101,['Sports'],"['School', 'Team Sports']",Shounen
104,Perfect Blue,Movie,8.52,105,317,"Feb 28, 1998",['Madhouse'],1,"['Avant Garde', 'Drama', 'Horror']","['Adult Cast', 'Psychological', 'Showbiz']",None
105,Steins;Gate 0,TV,8.52,106,188,"Apr 12, 2018 to Sep 27, 2018",['White Fox'],23,"['Drama', 'Sci-Fi', 'Suspense']",['Time Travel'],None
106,Gintama Movie 1: Shinyaku Benizakura-hen,Movie,8.52,107,1307,"Apr 24, 2010",['Sunrise'],1,"['Action', 'Comedy', 'Sci-Fi']","['Historical', 'Parody', 'Samurai']",Shounen
107,Koukaku Kidoutai: Stand Alone Complex 2nd GIG,TV,8.52,108,925,"Jan 1, 2004 to Jan 8, 2005",['Production I.G'],26,"['Action', 'Mystery', 'Sci-Fi']","['Adult Cast', 'Detective', 'Mecha', 'Military']",Seinen
108,Ansatsu Kyoushitsu 2nd Season,TV,8.51,109,84,"Jan 8, 2016 to Jul 1, 2016",['Lerche'],25,"['Action', 'Comedy']",['School'],Shounen
109,Banana Fish,TV,8.51,110,222,"Jul 6, 2018 to Dec 21, 2018",['MAPPA'],24,"['Action', 'Adventure', 'Drama']",['Delinquents'],Shoujo
110,Hotaru no Haka,Movie,8.51,111,303,"Apr 16, 1988",['Studio Ghibli'],1,['Drama'],['Historical'],None
111,Karakai Jouzu no Takagi-san 3,TV,8.51,112,1434,"Jan 8, 2022 to Mar 26, 2022",['Shin-Ei Animation'],12,"['Comedy', 'Slice of Life']","['Iyashikei', 'Romantic Subtext', 'School']",Shounen
112,Nana,TV,8.51,113,327,"Apr 5, 2006 to Mar 28, 2007",['Madhouse'],47,"['Drama', 'Romance', 'Slice of Life']","['Adult Cast', 'Love Polygon', 'Music']",Shoujo
113,One Punch Man,TV,8.51,114,4,"Oct 5, 2015 to Dec 21, 2015",['Madhouse'],12,"['Action', 'Comedy']","['Parody', 'Super Power']",Seinen
114,Uchuu Kyoudai,TV,8.51,115,1094,"Apr 1, 2012 to Mar 22, 2014",['A-1 Pictures'],99,"['Comedy', 'Sci-Fi', 'Slice of Life']","['Space', 'Workplace']",Seinen
115,Samurai Champloo,TV,8.50,116,99,"May 20, 2004 to Mar 19, 2005",['Manglobe'],26,"['Action', 'Adventure', 'Comedy']","['Historical', 'Samurai']",Shounen
116,Shingeki no Kyojin Season 2,TV,8.50,117,12,"Apr 1, 2017 to Jun 17, 2017",['Wit Studio'],12,"['Action', 'Drama']","['Gore', 'Military', 'Survival']",Shounen
117,Tian Guan Ci Fu Special,ONA,8.50,118,3490,"Feb 16, 2021",['Haoliners Animation League'],1,"['Drama', 'Supernatural']",['Historical'],None
118,Aria the Origination,TV,8.50,119,1550,"Jan 8, 2008 to Apr 1, 2008",['Hal Film Maker'],13,"['Fantasy', 'Sci-Fi', 'Slice of Life']",['Iyashikei'],Shounen
119,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,TV,8.50,120,132,"Apr 2, 2016 to Dec 24, 2016",['David Production'],39,"['Action', 'Adventure', 'Comedy', 'Drama', 'Supernatural']",['None'],Shounen
120,Rainbow: Nisha Rokubou no Shichinin,TV,8.49,121,518,"Apr 7, 2010 to Sep 29, 2010",['Madhouse'],26,"['Drama', 'Suspense']","['Delinquents', 'Historical']",Seinen
121,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,TV,8.49,122,227,"Jan 6, 2021 to Mar 24, 2021",['White Fox'],12,"['Drama', 'Fantasy', 'Suspense']","['Isekai', 'Psychological', 'Time Travel']",None
122,Mob Psycho 100,TV,8.48,123,36,"Jul 11, 2016 to Sep 27, 2016",['Bones'],12,"['Action', 'Comedy', 'Supernatural']",['Super Power'],None
123,Chihayafuru 3,TV,8.48,124,1501,"Oct 23, 2019 to Mar 25, 2020",['Madhouse'],24,"['Drama', 'Slice of Life', 'Sports']","['Love Polygon', 'School', 'Strategy Game']",Josei
124,Gintama: The Semi-Final,Special,8.48,125,2532,"Jan 15, 2021 to Jan 20, 2021",['Bandai Namco Pictures'],2,"['Action', 'Comedy']","['Gag Humor', 'Historical', 'Parody', 'Samurai']",Shounen
125,Josee to Tora to Sakana-tachi,Movie,8.47,126,681,"Dec 25, 2020",['Bones'],1,"['Drama', 'Romance', 'Slice of Life']",['Visual Arts'],None
126,Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,Movie,8.47,127,253,"Aug 30, 2019",['J.C.Staff'],1,"['Adventure', 'Comedy', 'Fantasy']","['Isekai', 'Parody', 'Reincarnation']",None
127,Mo Dao Zu Shi,ONA,8.47,128,1012,"Jul 9, 2018 to Oct 6, 2018",['B.CMAY PICTURES'],15,"['Action', 'Adventure', 'Mystery', 'Supernatural']",['Historical'],None
128,Zoku Owarimonogatari,Movie,8.47,129,988,"Nov 10, 2018",['Shaft'],6,"['Comedy', 'Mystery', 'Supernatural']",['Vampire'],None
129,Nichijou,TV,8.46,130,173,"Apr 3, 2011 to Sep 25, 2011",['Kyoto Animation'],26,"['Comedy', 'Slice of Life']","['Gag Humor', 'School']",Shounen
130,Owarimonogatari,TV,8.46,131,417,"Oct 4, 2015 to Dec 20, 2015",['Shaft'],12,"['Comedy', 'Mystery', 'Supernatural']",['Vampire'],None
131,Saenai Heroine no Sodatekata Fine,Movie,8.46,132,1280,"Oct 26, 2019",['CloverWorks'],1,"['Comedy', 'Romance', 'Ecchi']","['Harem', 'Otaku Culture', 'School']",None
132,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,Movie,8.46,133,332,"Apr 20, 2013",['White Fox'],1,"['Drama', 'Sci-Fi']",['None'],None
133,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,Movie,8.46,134,555,"Oct 26, 2013",['Shaft'],1,"['Drama', 'Mystery', 'Suspense']","['Mahou Shoujo', 'Psychological']",None
134,Golden Kamuy 3rd Season,TV,8.45,135,1458,"Oct 5, 2020 to Dec 21, 2020",['Geno Studio'],12,"['Action', 'Adventure']",['Historical'],Seinen
135,Haikyuu!!,TV,8.45,136,38,"Apr 6, 2014 to Sep 21, 2014",['Production I.G'],25,['Sports'],"['School', 'Team Sports']",Shounen
136,Mo Dao Zu Shi: Xian Yun Pian,ONA,8.45,137,1960,"Aug 3, 2019 to Sep 21, 2019",['B.CMAY PICTURES'],8,"['Action', 'Mystery', 'Supernatural']",['Historical'],None
137,Vivy: Fluorite Eye's Song,TV,8.45,138,440,"Apr 3, 2021 to Jun 19, 2021",['Wit Studio'],13,"['Action', 'Sci-Fi', 'Suspense']","['Music', 'Time Travel']",None
138,Yuu☆Yuu☆Hakusho,TV,8.45,139,281,"Oct 10, 1992 to Jan 7, 1995",['Studio Pierrot'],112,"['Action', 'Comedy', 'Supernatural']","['Martial Arts', 'Mythology']",Shounen
139,Mushishi Zoku Shou: Odoro no Michi,Special,8.44,140,1853,"Aug 20, 2014",['Artland'],1,"['Adventure', 'Fantasy', 'Mystery', 'Slice of Life', 'Supernatural']","['Adult Cast', 'Historical', 'Iyashikei']",Seinen
140,Saiki Kusuo no Ψ-nan 2,TV,8.44,141,334,"Jan 17, 2018 to Jun 27, 2018","['J.C.Staff', '            Egg Firm']",24,"['Comedy', 'Slice of Life', 'Supernatural']","['Gag Humor', 'School']",Shounen
