Game ID,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Single Player/ Multi Player,Download Size,Viewership (Thousands),Online/Offline,In game purchase,Price,Countries,In game voice/chat
8005KN,RayStorm,PS,1997,Shooter,Sony Computer Entertainment,0.04,0.03,0,0,0.07,79,7,7.8,4,Taito Corporation,E,Single Player,22576,39,Online,No,64,8,No
6107IN,Elemental Gearbolt,PS,1997,Shooter,Sony Computer Entertainment,0.03,0.02,0,0,0.06,76,11,,,Alfa System,T,Single Player,17404,80,Online,Yes,42,5,No
4975GW,Tekken 3,PS,1998,Fighting,Sony Computer Entertainment,3.27,2.22,1.4,0.29,7.16,96,15,9.1,367,Namco,T,Single Player,3036,449,Online,Yes,43,14,No
9321NP,Crash Bandicoot 3: Warped,PS,1998,Platform,Sony Computer Entertainment,3.68,1.75,1.42,0.28,7.13,91,12,8.9,432,Naughty Dog,E,Single Player,231,12,Online,Yes,48,30,No
1550NL,Metal Gear Solid,PS,1998,Action,Konami Digital Entertainment,3.18,1.83,0.78,0.24,6.03,94,20,9.4,918,KCEJ,M,Single Player,9683,191,Offline,No,62,16,No
3361WB,Resident Evil 2,PS,1998,Action,Virgin Interactive,1.88,1.47,2.02,0.45,5.82,89,13,9.2,364,Capcom,M,Single Player,1843,123,Offline,Yes,45,28,No
2235PJ,Grand Theft Auto 2,PS,1998,Action,Take-Two Interactive,1.13,2.07,0,0.22,3.42,70,15,8,67,DMA Design,T,Multi Player,13737,414,Offline,Yes,40,25,No
4018LS,Need for Speed III: Hot Pursuit,PS,1998,Racing,Electronic Arts,2.14,0.86,0,0.13,3.12,88,13,,,EA Canada,E,Single Player,1945,31,Online,No,67,15,No
8640BK,Medal of Honor,PS,1998,Shooter,Electronic Arts,1.44,1.09,0,0.14,2.67,92,17,8.6,80,Dreamworks Interactive,T,Single Player,29679,61,Online,Yes,43,13,No
1606JP,Parasite Eve,PS,1998,Role-Playing,SquareSoft,0.94,0.07,1.05,0.04,2.1,81,17,8.9,89,SquareSoft,M,Multi Player,1529,17,Online,No,70,30,No
9774SM,R4: Ridge Racer Type 4,PS,1998,Racing,Namco Bandai Games,0.68,0.46,0.79,0.13,2.06,88,18,9.2,21,Namco,,Single Player,2034,83,Online,Yes,49,28,No
8485KM,Xenogears,PS,1998,Role-Playing,SquareSoft,0.29,0.19,0.89,0.1,1.46,84,15,8.4,204,SquareSoft,T,Single Player,1690,6,Online,Yes,40,22,No
3977PO,Brave Fencer Musashi,PS,1998,Role-Playing,SquareSoft,0.25,0.17,0.65,0.07,1.14,81,12,8.5,17,SquareSoft,E,Single Player,1320,30,Online,No,61,28,No
7747MX,Star Ocean: The Second Story,PS,1998,Role-Playing,Sony Computer Entertainment,0.26,0.1,0.72,0.02,1.1,80,13,8.5,44,Tri-Ace,E,Single Player,220,84,Online,No,66,30,No
6652MA,Monster Rancher 2,PS,1998,Simulation,Sony Computer Entertainment,0.19,0.13,0.66,0.07,1.05,83,6,,,Tecmo,E,Single Player,997,10,Online,No,70,16,No
8854OO,Street Fighter Alpha 3,PS,1998,Fighting,Virgin Interactive,0.38,0.12,0.51,0.02,1.03,93,12,8.5,46,Capcom,T,Single Player,25394,902,Offline,Yes,44,14,No
8601AG,ISS Pro Evolution,PS,1998,Sports,Konami Digital Entertainment,0,0,0.71,0.05,0.76,94,4,8.7,40,KCET,E,Single Player,689,24,Online,Yes,41,21,No
5115OZ,Suikoden II,PS,1998,Role-Playing,Konami Digital Entertainment,0.15,0.1,0.38,0.04,0.68,82,8,8.4,162,Konami,T,Multi Player,1350,18,Online,Yes,49,27,Yes
9970GB,Dead or Alive,PS,1998,Fighting,Sony Computer Entertainment,0.09,0.06,0.1,0.02,0.28,84,10,8.6,18,Team Ninja,T,Single Player,6565,427,Online,No,70,14,No
6699ZJ,Gundam Battle Assault,PS,1998,Fighting,Namco Bandai Games,0.13,0.09,0,0.02,0.23,61,4,7.8,4,Natsume,T,Single Player,25558,332,Online,No,68,13,No
2401BP,Strikers 1945,PS,1998,Shooter,Midas Interactive Entertainment,0.07,0.05,0,0.01,0.12,63,5,8.2,6,Psikyo,E,Single Player,23841,48,Offline,No,63,10,No
1286JO,Bomberman Party Edition,PS,1998,Puzzle,Virgin Interactive,0.07,0.05,0,0.01,0.12,79,6,8.3,6,Metro,E,Single Player,257,34,Online,No,66,25,No
5426OM,StarCraft,PC,1998,Strategy,Activision,0,0.04,0,0.01,0.05,88,15,9.1,813,Blizzard Entertainment,T,Single Player,478,42,Online,Yes,44,26,No
8618ZM,Planescape: Torment,PC,1998,Role-Playing,Interplay,0.01,0.02,0,0,0.03,91,22,9.2,813,Black Isle Studios,T,Single Player,1485,108,Online,No,65,6,No
1242PF,Homeworld,PC,1998,Strategy,Vivendi Games,0,0.02,0,0,0.02,93,20,9,326,Relic,E,Single Player,1373,58,Online,No,61,3,No
4024MP,Gran Turismo 2,PS,1999,Racing,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49,93,23,9,135,Polyphony Digital,T,Single Player,1685,65,Online,No,61,76,No
8669MY,Final Fantasy VIII,PS,1999,Role-Playing,SquareSoft,2.28,1.72,3.63,0.23,7.86,90,24,8.6,644,SquareSoft,T,Single Player,498,6,Online,Yes,44,26,No
3384PE,Tony Hawk's Pro Skater,PS,1999,Sports,Activision,3.42,1.38,0.02,0.2,5.02,92,18,9.2,69,Neversoft Entertainment,T,Single Player,18472,102,Online,Yes,40,25,No
5070YJ,Crash Team Racing,PS,1999,Racing,Sony Computer Entertainment,2.57,1.57,0.44,0.21,4.79,88,20,9,233,Naughty Dog,E,Single Player,1337,19,Offline,No,61,21,No
4919EB,Need For Speed: High Stakes,PS,1999,Racing,Electronic Arts,1.58,0.64,0,0.09,2.31,86,14,8.5,28,EA Canada,E,Single Player,299,45,Online,Yes,46,30,No
4424ER,The Legend of Dragoon,PS,1999,Role-Playing,Sony Computer Entertainment,0.94,0.44,0.39,0.1,1.86,74,12,8.4,248,SCEI,T,Single Player,438,68,Offline,Yes,40,17,No
8856JR,Chrono Cross,PS,1999,Role-Playing,SquareSoft,0.62,0.42,0.69,0.12,1.86,94,16,8.1,297,SquareSoft,T,Single Player,424,22,Offline,No,70,28,No
7307BL,Ape Escape,PS,1999,Platform,Sony Computer Entertainment,0.71,0.48,0.32,0.11,1.63,90,19,8.8,53,SCEI,E,Single Player,410,8,Online,Yes,44,20,No
9810RG,Silent Hill,PS,1999,Action,Konami Digital Entertainment,0.71,0.48,0.3,0.1,1.6,86,17,9.2,326,KCET,M,Single Player,25255,495,Offline,No,62,13,No
5838LU,Shenmue,DC,1999,Adventure,Sega,0.52,0.24,0.38,0.04,1.18,88,9,9.4,201,Sega AM2,T,Single Player,7054,43,Offline,Yes,41,15,No
1826GQ,SnoCross Championship Racing,PS,1999,Racing,Ubisoft,0.52,0.35,0,0.06,0.93,66,8,,,UDS,E,Single Player,1375,57,Offline,No,69,10,No
4394QI,Need for Speed: Porsche Unleashed,PS,1999,Racing,Electronic Arts,0.43,0.29,0,0.05,0.77,78,13,8.5,24,Eden Studios,E,Single Player,1654,77,Online,Yes,40,19,No
7982GR,Pro Pinball: Big Race USA,PS,1999,Simulation,Take-Two Interactive,0.37,0.25,0,0.04,0.66,69,4,,,Cunning Developments,E,Single Player,1079,66,Offline,Yes,46,20,No
5351CT,Parasite Eve II,PS,1999,Role-Playing,SquareSoft,0.32,0.22,0,0.04,0.58,79,14,9,77,SquareSoft,M,Single Player,839,34,Offline,No,61,19,No
3206IH,Seaman,DC,1999,Simulation,Sega,0,0,0.52,0,0.52,82,24,8.4,16,Vivarium,T,Single Player,625,16,Offline,No,69,7,No
3447RL,The Grinch,PS,1999,Adventure,Konami Digital Entertainment,0.29,0.2,0,0.03,0.52,55,8,,,VU Games,E,Single Player,20568,8,Online,No,65,15,No
9485TQ,Razor Freestyle Scooter,PS,1999,Sports,Ubisoft,0.26,0.17,0,0.03,0.46,65,11,,,Shaba Games,E,Multi Player,4820,102,Offline,No,60,28,No
4722LM,SoulCalibur,DC,1999,Fighting,Namco Bandai Games,0,0,0.34,0,0.34,98,24,8.8,200,Namco,T,Single Player,24554,218,Online,No,62,6,No
6256MU,Harvest Moon: Back to Nature,PS,1999,Simulation,Ubisoft,0.11,0.07,0.12,0.02,0.32,82,6,9.3,78,Victor Interactive Software,E,Single Player,566,74,Offline,Yes,44,11,No
7493HJ,Grandia,PS,1999,Role-Playing,Ubisoft,0.14,0.09,0,0.02,0.25,89,14,6.6,77,Game Arts,E,Single Player,874,28,Online,No,63,17,No
9300UB,WCW Backstage Assault,PS,1999,Action,Electronic Arts,0.12,0.08,0,0.01,0.21,40,9,,,Kodiak Interactive,T,Single Player,1836,833,Offline,Yes,44,25,No
5598TN,Surf Riders,PS,1999,Sports,Ubisoft,0.07,0.05,0,0.01,0.13,64,6,,,ACOT,E,Single Player,14808,7,Online,No,61,10,No
9723JP,ECW Anarchy Rulz,PS,1999,Fighting,Acclaim Entertainment,0.06,0.04,0,0.01,0.11,43,7,6.3,4,Acclaim,E,Single Player,1801,158,Online,No,60,11,No
7472BI,Woody Woodpecker Racing,PS,1999,Racing,Konami Digital Entertainment,0.06,0.04,0,0.01,0.11,46,4,,,VU Games,E,Single Player,1071,65,Online,Yes,46,15,No
9585NF,Digimon Digital Card Battle,PS,1999,Strategy,Namco Bandai Games,0.06,0.04,0,0.01,0.11,51,5,9,44,Bandai,T,Single Player,1653,61,Online,Yes,40,10,No
1541PE,Age of Empires II: The Age of Kings,PC,1999,Strategy,Microsoft Game Studios,0.01,0.08,0,0.01,0.09,92,21,9,801,Ensemble Studios,T,Single Player,898,12,Online,No,64,19,No
7435IK,Incredible Crisis,PS,1999,Action,Titus,0.04,0.03,0,0.01,0.08,80,11,7.5,11,Polygon Magic,T,Single Player,13820,360,Offline,Yes,40,28,No
4877FR,Dragon Valor,PS,1999,Role-Playing,Sony Computer Entertainment,0.04,0.03,0,0,0.07,57,9,8.3,10,Namco,T,Single Player,209,42,Online,No,67,5,No
3686EF,Saiyuki: Journey West,PS,1999,Strategy,Tecmo Koei,0.03,0.02,0,0,0.05,73,9,7.1,9,Koei,E,Single Player,1655,4,Offline,Yes,41,5,No
8659KU,Countdown Vampires,PS,1999,Adventure,Namco Bandai Games,0.02,0.01,0,0,0.04,41,6,,,K2 LLC,M,Single Player,4266,34,Offline,No,62,8,No
2140FN,The Longest Journey,PC,1999,Adventure,Empire Interactive,0,0.01,0,0,0.02,91,26,8.9,439,Funcom,M,Single Player,17116,24,Online,No,64,5,No
9739UE,Final Fantasy IX,PS,2000,Role-Playing,SquareSoft,1.62,0.77,2.78,0.14,5.3,94,22,8.9,779,SquareSoft,T,Single Player,630,138,Offline,No,68,15,No
8261IL,Driver 2,PS,2000,Action,Atari,2.36,2.1,0.02,0.25,4.73,62,14,7.7,92,Reflections Interactive,T,Single Player,3632,1814,Offline,Yes,47,24,No
1754NI,Tony Hawk's Pro Skater 2,PS,2000,Sports,Activision,3.05,1.41,0.02,0.2,4.68,98,19,7.7,299,Neversoft Entertainment,T,Multi Player,9271,29,Online,Yes,49,10,No
3054EA,Tekken Tag Tournament,PS2,2000,Fighting,Namco Bandai Games,1.68,1.51,0.51,0.35,4.05,85,25,8.5,117,Namco,T,Multi Player,29193,442,Online,Yes,48,16,Yes
8171LY,Spyro: Year of the Dragon,PS,2000,Platform,Sony Computer Entertainment,1.93,1.58,0,0.19,3.71,91,15,8.8,207,Insomniac Games,E,Single Player,96,55,Offline,Yes,46,21,No
4373IK,Crash Bash,PS,2000,Misc,Sony Computer Entertainment,1.56,1.47,0.19,0.17,3.39,68,12,8.2,99,Eurocom Entertainment Software,E,Single Player,342,36,Offline,Yes,45,19,No
5584AA,Spider-Man,PS,2000,Action,Activision,1.7,1.25,0.02,0.16,3.13,87,19,9,107,Neversoft Entertainment,E,Single Player,3966,1320,Offline,Yes,48,16,No
2572YH,The Sims: Livin Large,PC,2000,Misc,Electronic Arts,1.67,1.18,0,0.13,2.99,82,23,6.6,20,Maxis,T,Multi Player,95,76,Online,No,60,30,No
9801KJ,Midnight Club: Street Racing,PS2,2000,Racing,Take-Two Interactive,2,0.47,0.02,0.14,2.63,78,18,7.8,21,Angel Studios,T,Multi Player,1818,17,Online,Yes,44,14,No
6894AP,Madden NFL 2001,PS,2000,Sports,Electronic Arts,1.58,0.05,0,0.04,1.67,90,14,6.8,4,EA Sports,E,Multi Player,29763,47,Online,Yes,50,18,No
4972HW,SSX,PS2,2000,Sports,Electronic Arts,0.78,0.61,0.06,0.2,1.66,93,35,8.3,33,EA Sports Big,E,Single Player,23509,68,Online,Yes,46,15,No
4787JC,Smuggler's Run,PS2,2000,Racing,Take-Two Interactive,0.77,0.6,0,0.2,1.56,79,21,6.8,18,Rockstar San Diego,T,Single Player,1968,48,Offline,No,62,20,No
4589PJ,Dark Cloud,PS2,2000,Role-Playing,Sony Computer Entertainment,0.83,0.44,0.08,0.19,1.54,80,27,8.2,99,Level 5,T,Multi Player,420,38,Online,No,68,29,Yes
6789WN,Tokyo Xtreme Racer Zero,PS2,2000,Racing,Crave Entertainment,0.66,0.52,0.15,0.17,1.5,76,15,8.9,64,Genki,E,Single Player,2003,46,Online,No,64,29,No
2802CC,Madden NFL 2001,PS2,2000,Sports,Electronic Arts,1.19,0.07,0.05,0.2,1.5,91,25,7.7,7,EA Sports,E,Single Player,13211,38,Offline,Yes,49,24,No
8465JC,NBA Live 2001,PS,2000,Sports,Electronic Arts,0.7,0.47,0,0.08,1.25,86,10,8,6,EA Sports,E,Single Player,17948,69,Online,No,70,17,No
6514NY,Ridge Racer V,PS2,2000,Action,Namco Bandai Games,0.24,0.19,0.75,0.06,1.24,78,20,7.7,6,Namco,E,Multi Player,4996,135,Online,Yes,46,19,Yes
7529CL,Dino Crisis 2,PS,2000,Action,Virgin Interactive,0.34,0.49,0.28,0.1,1.21,86,13,9,91,Capcom,M,Single Player,14933,486,Offline,Yes,50,11,No
1782CM,Action Bass,PS,2000,Action,Take-Two Interactive,0.64,0.43,0,0.07,1.14,51,8,,,Vingt-et-un Systems,E,Single Player,10652,394,Offline,No,65,12,No
1467YH,NFL 2K1,DC,2000,Sports,Sega,1.02,0.05,0,0.02,1.09,97,22,6,47,Visual Concepts,E,Multi Player,27059,36,Offline,No,70,18,No
9062LF,Dave Mirra Freestyle BMX,PS,2000,Sports,Acclaim Entertainment,0.91,0.11,0,0.03,1.05,82,14,8.4,5,"Z-Axis, Ltd.",E,Single Player,18245,45,Online,No,60,12,No
2428MV,ATV: Quad Power Racing,PS,2000,Racing,Acclaim Entertainment,0.58,0.39,0,0.07,1.04,42,9,,,Climax Group,E,Single Player,1053,55,Offline,Yes,48,29,No
9845HF,NFL GameDay 2001,PS,2000,Sports,Sony Computer Entertainment,0.56,0.38,0,0.07,1,73,10,,,989 Sports,E,Single Player,28566,67,Online,No,66,25,No
5379FR,NFL Fever 2002,XB,2000,Sports,Microsoft Game Studios,0.74,0.21,0,0.04,0.99,79,24,8.5,10,Microsoft Game Studios,E,Single Player,19246,47,Offline,Yes,46,20,No
2963VR,The Bouncer,PS2,2000,Action,Sony Computer Entertainment,0.3,0.23,0.38,0.08,0.99,66,20,8,35,DreamFactory,T,Single Player,4061,117,Offline,Yes,44,28,No
2734FR,Medal of Honor: Underground,PS,2000,Shooter,Electronic Arts,0.54,0.37,0,0.06,0.97,86,16,9,44,Dreamworks Interactive,T,Single Player,10861,78,Online,No,68,11,No
5956RH,NHL 2001,PS2,2000,Sports,Electronic Arts,0.47,0.37,0,0.12,0.96,85,22,8.1,9,EA Sports,E,Single Player,27402,36,Offline,Yes,50,10,No
1972RP,Kessen,PS2,2000,Strategy,Electronic Arts,0.27,0.21,0.41,0.07,0.95,75,20,8.4,12,Koei,T,Single Player,359,58,Online,No,64,28,No
7187RD,007: The World is not Enough,PS,2000,Action,Electronic Arts,0.51,0.35,0,0.06,0.92,61,11,6.7,44,Black Ops Entertainment,T,Single Player,1251,752,Offline,Yes,45,21,No
9105HH,Colin McRae Rally 2.0,PS,2000,Racing,Codemasters,0.02,0.8,0.02,0.07,0.91,90,13,8.7,31,Codemasters,E,Multi Player,1621,28,Online,Yes,48,23,No
7634PQ,Vagrant Story,PS,2000,Role-Playing,Crave Entertainment,0.3,0.2,0.3,0.06,0.87,92,19,8.3,129,SquareSoft,T,Single Player,987,33,Online,Yes,49,13,No
6186DV,Street Fighter EX3,PS2,2000,Fighting,Virgin Interactive,0.32,0.25,0.2,0.08,0.85,64,17,7.9,31,Arika,T,Single Player,13208,606,Offline,No,65,26,No
9168HK,Dynasty Warriors 2,PS2,2000,Action,THQ,0.24,0.19,0.34,0.06,0.83,75,17,8.8,24,Omega Force,T,Single Player,3565,944,Online,No,60,13,No
3846QG,Ready 2 Rumble Boxing: Round 2,PS2,2000,Fighting,Midway Games,0.4,0.31,0,0.1,0.81,75,20,,,Midway,T,Single Player,5934,450,Offline,No,69,10,No
2547VF,Tales of Destiny II,PS,2000,Role-Playing,Namco Bandai Games,0.06,0.04,0.66,0.05,0.81,78,9,8.7,31,Namco,T,Single Player,1515,33,Offline,Yes,43,14,No
5727KQ,NASCAR 2001,PS,2000,Racing,Electronic Arts,0.45,0.31,0,0.05,0.81,73,8,6.1,9,Black Box,E,Single Player,385,71,Online,Yes,40,10,No
7473GD,Armored Core 2,PS2,2000,Simulation,Ubisoft,0.28,0.22,0.23,0.07,0.79,78,23,8.4,19,From Software,T,Single Player,711,80,Online,Yes,41,26,No
1944FQ,Mega Man X5,PS,2000,Platform,Capcom,0.3,0.21,0.2,0.05,0.75,76,10,8.9,55,Capcom,E,Single Player,90,11,Online,Yes,45,30,No
7506QZ,Resident Evil: Survivor,PS,2000,Action,Eidos Interactive,0.23,0.15,0.29,0.05,0.71,39,10,7,47,Capcom,M,Single Player,7443,213,Offline,Yes,40,16,No
9210DU,Jeremy McGrath Supercross 2000,PS,2000,Racing,Acclaim Entertainment,0.4,0.27,0,0.05,0.71,43,11,,,Acclaim,E,Single Player,1192,118,Offline,Yes,47,10,No
1265QR,NASCAR 2001,PS2,2000,Racing,Electronic Arts,0.34,0.27,0,0.09,0.7,66,16,6.6,9,EA Sports,E,Single Player,1464,15,Online,Yes,47,18,No
4670ZZ,Mobile Suit Gundam: Journey to Jaburo,PS2,2000,Simulation,Namco Bandai Games,0.16,0.13,0.36,0.04,0.7,58,16,8.1,49,Bandai,T,Multi Player,1032,7,Offline,Yes,42,10,No
4511UG,NHL 2001,PS,2000,Sports,Electronic Arts,0.35,0.24,0,0.04,0.63,88,10,7.7,7,Page 44 Studios,E,Single Player,14985,5,Online,No,68,20,No
8805RW,Buzz Lightyear of Star Command,PS,2000,Platform,Activision,0.35,0.24,0,0.04,0.63,54,10,5.3,4,Traveller's Tales,E,Single Player,208,23,Online,No,69,29,No
1339ZQ,NFL Blitz 2001,PS,2000,Sports,Midway Games,0.33,0.22,0,0.04,0.59,70,6,,,Midway,E,Single Player,10508,2,Online,Yes,50,26,No
7529GN,Unreal Tournament,PS2,2000,Shooter,Infogrames,0.28,0.22,0,0.07,0.58,77,23,6.8,13,Epic Games,M,Single Player,15341,33,Online,Yes,40,30,No
5687WL,Digimon World 2,PS,2000,Role-Playing,Namco Bandai Games,0.23,0.16,0.16,0.04,0.58,42,5,7.6,47,Bandai,E,Multi Player,1824,6,Offline,No,66,20,No
5009QE,Tenchu 2: Birth of the Stealth Assassins,PS,2000,Action,Activision,0.32,0.22,0,0.04,0.58,77,14,8.7,32,Acquire,M,Single Player,3558,161,Offline,No,68,30,No
5443NP,Breath of Fire IV,PS,2000,Role-Playing,Capcom,0.11,0.08,0.34,0.04,0.56,83,10,8.9,45,Capcom,T,Single Player,1319,40,Online,No,70,25,No
2728LO,007 Racing,PS,2000,Racing,Electronic Arts,0.3,0.2,0,0.03,0.53,51,16,4.6,14,Eutechnyx,T,Single Player,1140,51,Offline,No,69,16,No
5009EO,Ready 2 Rumble Boxing: Round 2,PS,2000,Fighting,Midway Games,0.29,0.2,0,0.03,0.52,68,5,,,Point of View,T,Single Player,5564,167,Online,Yes,42,10,No
9868PQ,Swing Away Golf,PS2,2000,Sports,Electronic Arts,0.17,0.13,0.18,0.04,0.52,78,15,,,T&E Soft,E,Multi Player,29401,55,Offline,Yes,40,15,No
2374OZ,Summoner,PS2,2000,Role-Playing,THQ,0.25,0.2,0,0.07,0.51,74,16,7.8,12,Volition Inc.,T,Single Player,802,3,Offline,No,67,28,No
8670OI,Theme Park Roller Coaster,PS2,2000,Strategy,Electronic Arts,0.23,0.18,0,0.06,0.48,82,11,7.9,17,Bullfrog Productions,E,Single Player,1435,1,Offline,No,67,15,No
4788QD,Fantavision,PS2,2000,Puzzle,Sony Computer Entertainment,0.14,0.11,0.19,0.04,0.47,72,18,6.3,9,SCEJ,E,Single Player,112,28,Offline,No,64,21,No
8397ZF,Victorious Boxers: Ippo's Road to Glory,PS2,2000,Fighting,Empire Interactive,0.05,0.04,0.38,0.01,0.47,75,15,8,10,New,T,Single Player,15882,415,Offline,Yes,44,10,No
7858IC,Star Wars: Demolition,PS,2000,Racing,Activision,0.25,0.17,0,0.03,0.46,63,11,6.5,6,"Luxoflux, Inc.",T,Single Player,1042,55,Offline,No,67,24,No
2699DE,TimeSplitters,PS2,2000,Shooter,Eidos Interactive,0.21,0.17,0,0.06,0.43,81,23,8,40,Free Radical Design,T,Single Player,2071,63,Online,Yes,49,28,No
3515FZ,Mega Man Legends 2,PS,2000,Adventure,Capcom,0.17,0.12,0.1,0.03,0.42,76,10,8.8,29,Capcom,E,Multi Player,17905,77,Offline,No,63,27,No
4306CI,Cool Boarders 2001,PS,2000,Sports,Sony Computer Entertainment,0.23,0.16,0,0.03,0.41,56,10,,,Idol Minds,E,Single Player,2729,22,Online,No,66,12,No
4678EX,Knockout Kings 2001,PS,2000,Fighting,Electronic Arts,0.23,0.15,0,0.03,0.41,84,11,8.5,6,EA Sports,T,Single Player,27320,192,Offline,No,69,20,No
3621IX,Kengo: Master of Bushido,PS2,2000,Fighting,Ubisoft,0.16,0.13,0.06,0.04,0.39,62,13,8.4,8,Light Weight,M,Single Player,12245,425,Offline,Yes,50,23,No
9113XB,Silent Scope,PS2,2000,Shooter,Konami Digital Entertainment,0.19,0.15,0,0.05,0.38,63,23,,,KCET,M,Single Player,28394,62,Offline,No,66,21,No
7769ID,NFL GameDay 2001,PS2,2000,Sports,Sony Computer Entertainment,0.18,0.14,0,0.05,0.36,51,16,,,SCEA,E,Multi Player,20703,61,Offline,Yes,43,17,No
6357XY,Persona 2: Eternal Punishment,PS,2000,Role-Playing,Atlus,0.03,0.02,0.28,0.02,0.35,83,11,8.4,25,Atlus Co.,T,Single Player,1396,42,Offline,No,63,17,No
9366BD,EverGrace,PS2,2000,Role-Playing,Ubisoft,0.1,0.08,0.15,0.03,0.35,59,12,7.8,4,From Software,T,Single Player,674,68,Offline,Yes,42,27,No
3564DA,Super Bust-A-Move,PS2,2000,Puzzle,Acclaim Entertainment,0.17,0.13,0,0.04,0.34,75,11,,,Taito Corporation,E,Single Player,299,71,Online,No,67,23,No
6754YR,NCAA GameBreaker 2001,PS,2000,Sports,Sony Computer Entertainment,0.18,0.12,0,0.02,0.33,69,9,,,989 Sports,E,Multi Player,17683,113,Offline,Yes,43,11,No
9021DQ,Sky Odyssey,PS2,2000,Simulation,Sony Computer Entertainment,0.16,0.12,0,0.04,0.32,79,18,8.4,9,CAProduction,E,Single Player,1618,59,Online,No,70,16,No
9771AJ,FIFA 2001 Major League Soccer,PS,2000,Sports,Electronic Arts,0.18,0.12,0,0.02,0.32,85,10,7.8,5,EA Sports,E,Single Player,17436,59,Offline,No,66,27,No
4648RP,Romance of the Three Kingdoms VII,PS2,2000,Strategy,Tecmo Koei,0.08,0.06,0.16,0.02,0.32,72,10,8.7,11,Koei,E,Single Player,1919,79,Offline,Yes,48,27,No
3078QT,Disney's The Emperor's New Groove,PS,2000,Platform,Sony Computer Entertainment,0.17,0.12,0,0.02,0.31,66,8,7.2,6,Disney Interactive,E,Single Player,326,88,Offline,Yes,49,17,No
7320JZ,Orphen: Scion of Sorcery,PS2,2000,Role-Playing,Activision,0.15,0.12,0,0.04,0.31,54,15,5.8,8,Shade,T,Single Player,1475,67,Offline,No,60,26,No
7666PH,Rayman 2: Revolution,PS2,2000,Platform,Ubisoft,0.15,0.11,0,0.04,0.3,90,16,8.2,42,Ubisoft,E,Single Player,223,49,Offline,Yes,48,19,No
6540TS,Army Men: Air Attack 2,PS,2000,Action,3DO,0.17,0.11,0,0.02,0.3,74,8,5.3,4,3DO,T,Single Player,21974,353,Online,No,70,14,No
6807ZM,Eternal Ring,PS2,2000,Role-Playing,Ubisoft,0.1,0.07,0.1,0.03,0.3,62,13,5.3,9,From Software,T,Single Player,1775,33,Offline,Yes,49,22,No
1802HM,WinBack: Covert Operations,PS2,2000,Shooter,Midas Interactive Entertainment,0.14,0.11,0,0.04,0.29,66,11,7.7,20,Omega Force,T,Multi Player,12965,5,Online,No,66,24,Yes
2661SU,Looney Tunes Racing,PS,2000,Racing,Infogrames,0.16,0.11,0,0.02,0.29,71,11,,,Circus Freak,E,Single Player,226,8,Online,Yes,44,19,No
3373MO,Real Pool,PS2,2000,Sports,Midas Interactive Entertainment,0.14,0.11,0,0.04,0.28,54,15,,,Takara,E,Single Player,18834,53,Offline,Yes,48,28,No
