Daily Time Spent on Site,Age,Area Income,Daily Internet Usage,Ad Topic Line,City,Gender,Country,Timestamp,Clicked on Ad
83.67,44,60192.72,234.26,Upgradable system-worthy array,West Shaun,Male,Saint Helena,06-02-2016 23:08,0
69.08,41,77460.07,210.6,Ergonomic client-driven application,Kimberlyhaven,Female,Turks and Caicos Islands,12-03-2016 01:39,0
37.47,44,45716.48,141.89,Realigned content-based leverage,Port Lawrence,Male,Czech Republic,26-01-2016 03:56,1
56.04,49,65120.86,128.95,Decentralized real-time circuit,West Ricardo,Male,Netherlands,07-02-2016 08:02,1
70.92,41,49995.63,108.16,Polarized modular function,Lake Jose,Male,Belarus,05-05-2016 07:58,1
49.78,46,71718.51,152.24,Enterprise-wide client-driven contingency,Heatherberg,Female,Dominica,29-06-2016 02:43,1
68.61,57,61770.34,150.29,Diverse modular interface,South George,Female,South Africa,10-04-2016 19:48,1
58.18,25,69112.84,176.28,Polarized analyzing concept,Tinachester,Male,New Zealand,10-02-2016 06:37,0
78.54,35,72524.86,172.1,Multi-channeled asynchronous open system,Port Jodi,Female,Togo,28-05-2016 20:41,0
37,48,36782.38,158.22,Function-based context-sensitive secured line,Jonathantown,Male,Kenya,24-03-2016 06:36,1
65.4,33,66699.12,247.31,Adaptive 24hour Graphic Interface,Sylviaview,Female,Palau,12-02-2016 22:51,0
79.52,27,64287.78,183.48,Automated coherent flexibility,East Timothyport,Male,Timor-Leste,10-06-2016 10:11,0
87.98,38,56637.59,222.11,Focused scalable complexity,West Roytown,Male,,31-03-2016 10:44,0
44.64,36,55787.58,127.01,Up-sized incremental encryption,Codyburgh,Female,Belize,14-02-2016 06:51,1
41.73,28,61142.33,202.18,Sharable dedicated Graphic Interface,Port Erikhaven,Male,Cuba,07-01-2016 19:16,1
80.46,27,61625.87,207.96,Digitized zero administration paradigm,Port Chasemouth,Male,Costa Rica,04-02-2016 02:13,0
75.55,36,73234.87,159.24,Managed grid-enabled standardization,Ramirezside,Female,Liechtenstein,09-05-2016 02:58,1
76.32,35,74166.24,195.31,Networked foreground definition,East Michaeltown,Male,Korea,23-06-2016 00:16,0
82.68,33,62669.59,222.77,Re-engineered exuding frame,West Courtney,Male,Ukraine,20-06-2016 09:35,0
72.01,31,57756.89,251,Horizontal multi-state interface,West Michaelhaven,Female,,29-02-2016 12:31,0
75.83,24,58019.64,162.44,Diverse stable circuit,Walshhaven,Female,Nauru,17-01-2016 15:10,0
41.28,50,50960.08,140.39,Universal 24/7 implementation,East Rachelview,Female,Equatorial Guinea,29-01-2016 03:54,1
34.66,32,48246.6,194.83,Customer-focused multi-tasking Internet solution,Curtisport,Female,Mongolia,14-07-2016 12:07,1
66.18,55,28271.84,143.42,Vision-oriented contextually-based extranet,Frankbury,Female,Svalbard & Jan Mayen Islands,10-01-2016 23:14,1
86.06,31,53767.12,219.72,Extended local methodology,Timothytown,Male,Timor-Leste,28-04-2016 18:34,0
59.59,42,43662.1,104.78,Re-engineered demand-driven capacity,Samanthaland,Male,Brazil,06-07-2016 18:36,1
86.69,34,62238.58,198.56,Customer-focused attitude-oriented instruction set,South Jennifer,Female,Chad,27-05-2016 06:19,0
43.77,52,49030.03,138.55,Synergized hybrid time-frame,Kyleborough,Male,Portugal,25-01-2016 07:39,1
71.84,47,76003.47,199.79,Advanced exuding conglomeration,North Randy,Male,Malawi,08-05-2016 22:47,0
80.23,31,68094.85,196.23,Secured clear-thinking middleware,South Daniellefort,Female,Qatar,19-03-2016 14:23,0
74.41,26,64395.85,163.05,Right-sized value-added initiative,Dianashire,Female,Singapore,23-07-2016 04:37,0
63.36,48,70053.27,137.43,Centralized tertiary pricing structure,East Eric,Female,Guinea,23-06-2016 01:22,1
71.74,35,72423.97,227.56,Multi-channeled reciprocal artificial intelligence,Hammondport,Female,Kazakhstan,19-07-2016 18:06,0
60.72,44,42995.8,105.69,Synergized context-sensitive database,Jacobstad,Female,Kuwait,28-02-2016 18:52,1
72.04,22,60309.58,199.43,Realigned systematic function,Hernandezfort,Female,Rwanda,10-02-2016 06:52,0
44.57,31,38349.78,133.17,Adaptive context-sensitive application,Joneston,Male,China,27-03-2016 09:11,1
85.86,34,63115.34,208.23,Networked high-level structure,New Jeffreychester,Female,Bouvet Island (Bouvetoya),23-05-2016 02:15,0
39.85,38,31343.39,145.96,Profit-focused dedicated utilization,East Stephen,Female,Vietnam,03-01-2016 03:22,1
84.53,27,40763.13,168.34,Stand-alone tangible moderator,Turnerchester,Female,Guatemala,04-01-2016 21:48,1
62.95,60,36752.24,157.04,Polarized tangible collaboration,Youngfort,Female,Peru,24-05-2016 13:30,1
67.58,41,65044.59,255.61,Focused high-level conglomeration,Ingramberg,Male,Mayotte,01-02-2016 19:42,0
85.56,29,53673.08,210.46,Advanced modular Local Area Network,South Denisefurt,Female,Samoa,05-06-2016 13:16,0
46.88,54,43444.86,136.64,Virtual scalable secured line,Port Melissaberg,Female,Singapore,04-02-2016 08:53,1
46.31,57,44248.52,153.98,Front-line fault-tolerant intranet,Bernardton,Male,Jamaica,24-03-2016 13:37,1
77.95,31,62572.88,233.65,Inverse asymmetric instruction set,Port Mathew,Male,Bahamas,02-06-2016 21:02,0
84.73,30,39840.55,153.76,Synchronized leadingedge help-desk,Aliciatown,Female,Canada,21-02-2016 07:42,1
39.86,36,32593.59,145.85,Total 5thgeneration standardization,Josephstad,Female,Algeria,26-06-2016 17:16,1
50.08,30,41629.86,123.91,Sharable grid-enabled matrix,West Ericfurt,Female,Fiji,03-01-2016 05:34,1
60.23,35,43313.73,106.86,Balanced asynchronous hierarchy,New Brendafurt,Female,Kenya,08-03-2016 18:00,1
60.7,49,42993.48,110.57,Monitored object-oriented Graphic Interface,Port Julie,Male,Argentina,19-06-2016 03:19,1
43.67,53,46004.31,143.79,Cloned analyzing artificial intelligence,South Tiffanyton,Male,Bouvet Island (Bouvetoya),21-07-2016 21:16,1
77.2,33,49325.48,254.05,Persistent homogeneous framework,North Elizabeth,Male,Philippines,12-02-2016 20:36,0
71.86,32,51633.34,116.53,Face-to-face even-keeled website,Kentmouth,Female,Senegal,17-05-2016 06:14,1
44.78,45,63363.04,137.24,Extended context-sensitive monitoring,West Casey,Male,Suriname,09-07-2016 11:04,1
78.57,36,64045.93,239.32,Exclusive client-driven model,East Henry,Male,Liberia,27-03-2016 02:35,0
73.41,31,73049.3,201.26,Profound executive flexibility,Hollyfurt,Male,Guam,16-01-2016 08:01,0
77.05,27,66624.6,191.14,Reduced bi-directional strategy,North Anna,Female,United Arab Emirates,21-01-2016 23:48,0
84.53,27,40763.13,168.34,Stand-alone tangible moderator, ,Female,Guatemala,04-01-2016 21:48,1
66.4,40,77567.85,214.42,Digitized heuristic solution,Port Destiny,Female,Antigua and Barbuda,05-06-2016 00:29,0
69.35,29,53431.35,252.77,Seamless 4thgeneration contingency,Ianmouth,Male,Argentina,13-02-2016 15:37,0
35.65,40,31265.75,172.58,Seamless intangible secured line,North Johntown,Male,Georgia,10-05-2016 07:22,1
70.04,31,74780.74,183.85,Intuitive radical forecast,Hannahside,Male,Jordan,27-03-2016 03:59,0
69.78,29,70410.11,218.79,Multi-layered non-volatile Graphical User Interface,Wilsonburgh,Female,Saudi Arabia,24-05-2016 18:35,0
58.22,29,37345.24,120.9,User-friendly client-server instruction set,North Russellborough,Female,South Africa,11-02-2016 02:40,1
76.9,28,66107.84,212.67,Synchronized multimedia model,Murphymouth,Female,Croatia,22-04-2016 08:31,0
84.08,30,62336.39,187.36,Face-to-face intermediate approach,Carterburgh,Male,Fiji,13-01-2016 02:58,0
59.51,58,39132.64,140.83,Assimilated fault-tolerant hub,Penatown,Female,Australia,16-06-2016 02:01,1
40.15,38,38745.29,134.88,Exclusive disintermediate task-force,Joechester,Male,Sao Tome and Principe,27-06-2016 18:37,1
76.81,28,65172.22,217.85,Managed zero tolerance concept,East Paul,Male,Fiji,03-07-2016 12:57,0
41.89,38,68519.96,163.38,Compatible systemic function,Hartmanchester,Female,Cyprus,03-02-2016 04:21,1
76.87,27,54774.77,235.35,Configurable fault-tolerant monitoring,Mcdonaldfort,Male,Kyrgyz Republic,29-05-2016 21:17,0
67.28,43,76246.96,155.8,Future-proofed coherent hardware,North Mercedes,Male,Pakistan,03-04-2016 21:13,1
81.98,40,65461.92,229.22,Ameliorated upward-trending definition,Taylorberg,Female,Seychelles,15-04-2016 11:51,0
66.01,23,34127.21,151.95,Front-line tangible alliance,Hansenmouth,Female,Samoa,21-06-2016 03:14,1
61.57,53,35253.98,125.94,Progressive 24hour forecast,Bradyfurt,Male,Bulgaria,14-03-2016 14:13,1
53.3,34,44893.71,111.94,Self-enabling optimal initiative,West Jessicahaven,Female,Mauritania,06-05-2016 21:07,1
34.87,40,59621.02,200.23,Configurable logistical Graphical User Interface,Davilachester,Female,Czech Republic,12-06-2016 17:52,1
43.6,38,20856.54,170.49,Virtual bandwidth-monitored initiative,North Ricardotown,Female,Chile,11-01-2016 07:36,1
77.88,37,55353.41,254.57,Multi-tiered human-resource structure,Melissafurt,Female,Poland,02-07-2016 00:24,0
75.83,27,67516.07,200.59,Managed upward-trending instruction set,East Brianberg,Female,Estonia,04-03-2016 10:13,0
49.95,39,68737.75,136.59,Cloned object-oriented benchmark,Millerbury,Female,Turkmenistan,24-03-2016 09:12,1
60.94,41,76893.84,154.97,Fundamental fault-tolerant neural-net,Garciaview,Female,Latvia,14-02-2016 07:30,1
89.15,42,59886.58,171.07,Phased zero administration success,Townsendfurt,Female,Fiji,25-04-2016 07:30,0
78.7,30,53441.69,133.99,Compatible intangible customer loyalty,Williamstad,Female,Turkey,10-02-2016 19:20,1
57.35,29,41356.31,119.84,Distributed 3rdgeneration definition,West Connor,Female,Kazakhstan,23-04-2016 14:34,1
34.86,38,49942.66,154.75,Pre-emptive cohesive budgetary management,West Justin,Female,,18-06-2016 17:56,1
70.68,31,74430.08,199.08,Configurable multi-state utilization,Robertbury,Female,Colombia,17-07-2016 01:58,0
76.06,23,58633.63,201.04,Diverse multi-tasking parallelism,New Tinamouth,Female,Brunei Darussalam,27-04-2016 04:28,0
66.67,33,72707.87,228.03,Horizontal content-based synergy,Turnerview,Male,Taiwan,21-04-2016 20:29,0
46.77,32,31092.93,136.4,Multi-tiered maximized archive,Reneechester,Male,Serbia,23-03-2016 06:00,1
62.42,38,74445.18,143.94,Diverse executive groupware,West Tinashire,Female,Saint Pierre and Miquelon,19-07-2016 07:59,1
78.32,28,49309.14,239.52,Synergized cohesive array,Jamesfurt,Female,Australia,26-06-2016 11:52,1
37.32,50,56735.14,199.25,Versatile dedicated software,New Nancy,Male,Chad,30-03-2016 23:40,1
40.42,45,40183.75,133.9,Stand-alone reciprocal synergy,Lisamouth,Male,Norway,16-03-2016 07:59,1
76.77,36,58348.41,123.51,Universal even-keeled analyzer,Harveyport,Female,Turks and Caicos Islands,04-05-2016 00:01,1
65.65,30,72209.99,158.05,Up-sized tertiary contingency,Ramosstad,Female,Finland,02-07-2016 21:22,0
74.32,33,62060.11,128.17,Monitored real-time superstructure,North Kevinside,Female,South Africa,23-05-2016 21:14,1
73.27,32,67113.46,234.75,Streamlined analyzing initiative,Haleview,Male,Martinique,29-01-2016 20:16,0
80.03,44,24030.06,150.84,Automated static concept,Christinetown,Female,Afghanistan,23-07-2016 14:47,1
53.68,47,56180.93,115.26,Operative stable moderator,New Michael,Male,Micronesia,16-02-2016 09:11,1
85.84,32,62204.93,192.85,Up-sized 6thgeneration moratorium,Jonesland,Male,French Southern Territories,09-06-2016 21:43,0
