,Daily_Time_Spent_on_Site,Age,Area Income,Daily Internet Usage,Ad Topic Line,City,Gender,Country,Timestamp,Clicked on Ad
53,50.33,50.0,62657.53,133.2,Sharable analyzing alliance,South Lauraton,Male,Micronesia,02-03-2016 04:57,1
54,62.31,47.0,62722.57,119.3,Team-oriented encompassing portal,Amandahaven,Female,Turkey,14-02-2016 07:36,1
55,80.6,31.0,67479.62,177.55,Sharable bottom-line solution,Thomasview,Female,Croatia,07-04-2016 03:56,0
56,65.19,36.0,75254.88,150.61,Cross-group regional website,Garciaside,Female,Israel,17-02-2016 11:42,1
57,44.98,49.0,52336.64,129.31,Organized global model,Port Sarahshire,Female,Svalbard & Jan Mayen Islands,10-04-2016 00:13,1
58,77.63,29.0,56113.37,239.22,Upgradable asynchronous circuit,Port Gregory,Female,Azerbaijan,14-02-2016 17:05,0
59,41.82,41.0,24852.9,156.36,Phased transitional instruction set,Brendachester,Female,Iran,26-05-2016 22:49,1
60,85.61,27.0,47708.42,183.43,Customer-focused empowering ability,Lake Amy,Female,Burundi,30-04-2016 08:07,0
61,85.84,34.0,64654.66,192.93,Front-line heuristic data-warehouse,Lake Annashire,Male,Saint Vincent and the Grenadines,15-06-2016 05:30,0
62,72.08,29.0,71228.44,169.5,Stand-alone national attitude,Smithburgh,Female,Burundi,09-03-2016 14:45,0
63,86.06,32.0,61601.05,178.92,Focused upward-trending core,North Leonmouth,Male,Bulgaria,31-03-2016 20:55,0
64,45.96,45.0,66281.46,141.22,Streamlined cohesive conglomeration,Williamsport,Female,Christmas Island,03-06-2016 00:55,1
65,62.42,29.0,73910.9,198.5,Upgradable optimizing toolset,Jasminefort,Male,Canada,10-03-2016 23:36,0
66,63.89,40.0,51317.33,105.22,Synchronized user-facing core,Jensenborough,Female,Rwanda,08-01-2016 00:17,1
67,35.33,32.0,51510.18,200.22,Organized client-driven alliance,Bradleyburgh,Female,Turks and Caicos Islands,05-06-2016 22:11,1
68,75.74,25.0,61005.87,215.25,Ergonomic multi-state structure,New Sheila,Male,Tunisia,16-01-2016 11:35,0
69,78.53,34.0,32536.98,131.72,Synergized multimedia emulation,North Regina,Female,Norfolk Island,22-04-2016 20:10,1
70,46.13,31.0,60248.97,139.01,Customer-focused optimizing moderator,Davidmouth,Female,Bouvet Island (Bouvetoya),01-02-2016 09:00,1
71,69.01,46.0,54958.57,222.63,Advanced full-range migration,New Michaeltown,Female,Turks and Caicos Islands,07-07-2016 13:37,0
72,55.35,39.0,75509.61,153.17,De-engineered object-oriented protocol,East Tammie,Male,Cook Islands,08-03-2016 00:37,1
73,33.21,43.0,42650.32,167.07,Polarized clear-thinking budgetary management,Wilcoxport,Male,Turkey,10-05-2016 17:39,1
74,38.46,42.0,58183.04,145.98,Customizable 6thgeneration knowledge user,Williamsport,Male,Guatemala,06-04-2016 11:24,1
75,64.1,22.0,60465.72,215.93,Seamless object-oriented structure,East Tiffanyport,Female,Cote d'Ivoire,01-04-2016 16:21,0
76,49.81,35.0,57009.76,120.06,Seamless real-time array,Ramirezhaven,Male,Faroe Islands,05-01-2016 04:18,1
77,82.73,33.0,54541.56,238.99,Grass-roots impactful system engine,Cranemouth,Male,Qatar,20-05-2016 21:31,0
78,56.14,38.0,32689.04,113.53,Devolved tangible approach,Lake Edward,Male,Ireland,03-02-2016 07:59,1
79,55.13,45.0,55605.92,111.71,Customizable executive software,Lake Conniefurt,Female,Ukraine,17-02-2016 21:55,1
80,78.11,27.0,63296.87,209.25,Progressive analyzing attitude,East Shawnchester,Male,Moldova,30-01-2016 16:10,0
81,73.46,28.0,65653.47,222.75,Innovative executive encoding,West Joseph,Male,Nicaragua,15-05-2016 14:41,0
82,56.64,38.0,61652.53,115.91,Down-sized uniform info-mediaries,Lake Christopherfurt,Female,Montserrat,05-01-2016 17:56,1
83,68.94,54.0,30726.26,138.71,Streamlined next generation implementation,East Tylershire,Female,Timor-Leste,19-04-2016 07:34,1
84,70.79,31.0,74535.94,184.1,Distributed tertiary system engine,Williamsport,Female,Bouvet Island (Bouvetoya),15-03-2016 15:49,0
85,57.76,41.0,47861.93,105.15,Triple-buffered scalable groupware,Lake Dustin,Female,Puerto Rico,12-06-2016 15:25,1
86,77.51,36.0,73600.28,200.55,Total 5thgeneration encoding,North Kristine,Female,Central African Republic,01-07-2016 04:41,0
87,52.7,34.0,58543.94,118.6,Integrated human-resource encoding,Grahamberg,Male,Venezuela,08-05-2016 12:12,1
88,57.7,34.0,42696.67,109.07,Phased dynamic customer loyalty,New Tina,Female,Australia,14-03-2016 23:13,1
89,56.89,37.0,37334.78,109.29,Open-source coherent policy,Nelsonfurt,Male,Wallis and Futuna,25-05-2016 00:19,1
90,69.9,43.0,71392.53,138.35,Down-sized modular intranet,Christopherport,Female,Jersey,13-05-2016 11:51,1
91,55.79,24.0,59550.05,149.67,Pre-emptive content-based focus group,Port Sarahhaven,Female,Puerto Rico,20-02-2016 20:47,1
92,70.03,26.0,64264.25,227.72,Versatile 4thgeneration system engine,Bradleyborough,Male,Samoa,22-05-2016 20:49,0
93,50.08,40.0,64147.86,125.85,Ergonomic full-range time-frame,Whiteport,Male,Greece,10-04-2016 02:02,1
94,43.67,31.0,25686.34,166.29,Automated directional function,New Theresa,Male,Antarctica (the territory South of 60 deg S),28-02-2016 06:41,1
95,72.84,26.0,52968.22,238.63,Progressive empowering alliance,Wongland,Female,Albania,08-07-2016 21:18,0
96,45.72,36.0,22473.08,154.02,Versatile homogeneous capacity,Williammouth,Male,Hong Kong,19-04-2016 15:14,1
97,39.94,41.0,64927.19,156.3,Function-based optimizing protocol,Williamsborough,Female,Lithuania,08-01-2016 22:47,1
98,35.61,46.0,51868.85,158.22,Up-sized secondary software,North Michael,Female,Egypt,28-03-2016 08:46,1
99,79.71,34.0,69456.83,211.65,Seamless holistic time-frame,Benjaminchester,Male,Bangladesh,02-07-2016 14:57,0
100,41.49,53.0,31947.65,169.18,Persevering reciprocal firmware,Hernandezville,Female,Western Sahara,03-07-2016 09:22,1
101,63.6,23.0,51864.77,235.28,Centralized logistical secured line,Youngburgh,Male,Serbia,01-06-2016 09:27,0
102,89.91,40.0,59593.56,194.23,Innovative background conglomeration,Wallacechester,Female,Maldives,09-07-2016 14:55,0
103,68.18,21.0,48376.14,218.17,Switchable 3rdgeneration hub,Sanchezmouth,Male,Czech Republic,09-02-2016 22:04,0
104,66.49,20.0,56884.74,202.16,Polarized 6thgeneration info-mediaries,Bradshawborough,Female,Guernsey,10-06-2016 11:31,0
105,80.49,40.0,67186.54,229.12,Balanced heuristic approach,Amyhaven,Male,Tanzania,14-02-2016 03:50,0
106,72.23,25.0,46557.92,241.03,Focused 24hour implementation,Marcushaven,Male,Bhutan,05-07-2016 17:17,0
107,42.39,42.0,66541.05,150.99,De-engineered mobile infrastructure,Erinton,Female,Christmas Island,28-04-2016 05:50,1
108,47.53,30.0,33258.09,135.18,Customer-focused upward-trending contingency,Williamsport,Female,Guinea,03-04-2016 05:10,1
109,74.02,32.0,72272.9,210.54,Operative system-worthy protocol,Johnstad,Female,Micronesia,09-03-2016 14:57,0
110,66.63,60.0,60333.38,176.98,User-friendly upward-trending intranet,New Lucasburgh,Female,Madagascar,16-01-2016 23:37,1
111,63.24,53.0,65229.13,235.78,Future-proofed holistic superstructure,Michelleside,Male,Lebanon,03-07-2016 04:33,1
112,71.0,22.0,56067.38,211.87,Extended systemic policy,Andersonton,Female,Eritrea,14-03-2016 06:46,0
113,46.13,46.0,37838.72,123.64,Horizontal hybrid challenge,New Rachel,Male,Guyana,09-01-2016 05:44,1
114,69.0,32.0,72683.35,221.21,Virtual composite model,Port Susan,Male,Trinidad and Tobago,11-02-2016 04:37,0
115,76.99,31.0,56729.78,244.34,Switchable mobile framework,West Angelabury,Male,Jersey,22-06-2016 07:33,0
116,72.6,55.0,66815.54,162.95,Focused intangible moderator,Port Christopherborough,Female,United Arab Emirates,13-07-2016 16:12,1
117,61.88,42.0,60223.52,112.19,Balanced actuating moderator,Phillipsbury,Male,Martinique,23-07-2016 11:46,1
118,84.45,50.0,29727.79,207.18,Customer-focused transitional strategy,Millerside,Female,Somalia,13-07-2016 04:10,1
119,88.97,45.0,49269.98,152.49,Advanced web-enabled standardization,Lake Jessica,Female,Bhutan,11-06-2016 18:32,1
120,86.19,31.0,57669.41,210.26,Pre-emptive executive knowledgebase,Lopezmouth,Male,Greece,08-05-2016 12:51,0
121,49.58,26.0,56791.75,231.94,Self-enabling holistic process improvement,Johnsport,Female,Benin,07-04-2016 16:02,0
122,77.65,27.0,63274.88,212.79,Horizontal client-driven hierarchy,Williamsport,Female,Papua New Guinea,04-02-2016 13:30,0
123,37.75,36.0,35466.8,225.24,Polarized dynamic throughput,South Daniel,Female,Uzbekistan,26-02-2016 19:48,1
124,62.33,43.0,68787.09,127.11,Devolved zero administration intranet,Suzannetown,Female,South Africa,21-06-2016 13:15,1
125,79.57,31.0,61227.59,230.93,User-friendly asymmetric info-mediaries,Lisaberg,Female,Egypt,17-05-2016 04:27,0
126,80.31,44.0,56366.88,127.07,Cross-platform regional task-force,Brianfurt,Female,Hungary,18-04-2016 15:54,1
127,89.05,45.0,57868.44,206.98,Polarized bandwidth-monitored moratorium,Stewartbury,Female,Falkland Islands (Malvinas),03-04-2016 10:07,0
128,70.41,27.0,66618.21,223.03,Centralized systematic knowledgebase,Benjaminchester,Female,Dominica,04-04-2016 21:30,0
129,67.36,37.0,73104.47,233.56,Future-proofed grid-enabled implementation,North Wesleychester,Female,Jersey,06-07-2016 16:00,0
130,46.98,50.0,21644.91,175.37,Down-sized well-modulated archive,East Michelleberg,Female,Lithuania,04-05-2016 09:00,1
131,41.67,36.0,53817.02,132.55,Realigned zero tolerance emulation,Port Eric,Female,Saint Martin,13-06-2016 18:50,1
132,51.24,36.0,76368.31,176.73,Versatile transitional monitoring,Timothyfurt,Female,Cuba,03-01-2016 16:01,1
133,75.7,29.0,67633.44,215.44,Profound zero administration instruction set,Port Jeffrey,Female,United States Minor Outlying Islands,14-01-2016 00:23,0
134,43.49,47.0,50335.46,127.83,User-centric intangible task-force,Guzmanland,Female,Belize,12-01-2016 10:07,1
135,49.89,39.0,17709.98,160.03,Enhanced system-worthy application,East Michele,Male,Belize,16-04-2016 12:09,1
136,38.37,36.0,41229.16,140.46,Multi-layered user-facing paradigm,East John,Female,Antarctica (the territory South of 60 deg S),13-05-2016 06:09,1
137,38.52,38.0,42581.23,137.28,Customer-focused 24/7 concept,Lesliebury,Male,Saint Vincent and the Grenadines,27-03-2016 23:59,1
138,71.89,23.0,61617.98,172.81,Function-based transitional complexity,Patriciahaven,Male,Kuwait,03-02-2016 23:47,0
139,75.8,38.0,70575.6,146.19,Progressive clear-thinking open architecture,Ashleychester,Male,Thailand,18-04-2016 11:23,0
140,83.86,31.0,64122.36,190.25,Up-sized executive moderator,Lake Josetown,Female,Gibraltar,05-02-2016 19:06,0
141,37.51,30.0,52097.32,163.0,Re-contextualized optimal service-desk,Debraburgh,Male,Holy See (Vatican City State),21-03-2016 18:46,1
142,55.6,44.0,65953.76,124.38,Fully-configurable neutral open system,New Debbiestad,Male,Korea,14-06-2016 11:59,1
143,83.67,44.0,60192.72,234.26,Upgradable system-worthy array,West Shaun,Male,Saint Helena,06-02-2016 23:08,0
144,69.08,41.0,77460.07,210.6,Ergonomic client-driven application,Kimberlyhaven,Female,Turks and Caicos Islands,12-03-2016 01:39,0
145,37.47,44.0,45716.48,141.89,Realigned content-based leverage,Port Lawrence,Male,Czech Republic,26-01-2016 03:56,1
146,56.04,49.0,65120.86,128.95,Decentralized real-time circuit,West Ricardo,Male,Netherlands,07-02-2016 08:02,1
147,70.92,41.0,49995.63,108.16,Polarized modular function,Lake Jose,Male,Belarus,05-05-2016 07:58,1
148,49.78,46.0,71718.51,152.24,Enterprise-wide client-driven contingency,Heatherberg,Female,Dominica,29-06-2016 02:43,1
149,68.61,57.0,61770.34,150.29,Diverse modular interface,South George,Female,South Africa,10-04-2016 19:48,1
150,58.18,25.0,69112.84,176.28,Polarized analyzing concept,Tinachester,Male,New Zealand,10-02-2016 06:37,0
151,78.54,35.0,72524.86,172.1,Multi-channeled asynchronous open system,Port Jodi,Female,Togo,28-05-2016 20:41,0
152,37.0,48.0,36782.38,158.22,Function-based context-sensitive secured line,Jonathantown,Male,Kenya,24-03-2016 06:36,1
153,65.4,33.0,66699.12,247.31,Adaptive 24hour Graphic Interface,Sylviaview,Female,Palau,12-02-2016 22:51,0
154,79.52,27.0,64287.78,183.48,Automated coherent flexibility,East Timothyport,Male,Timor-Leste,10-06-2016 10:11,0
155,87.98,38.0,56637.59,222.11,Focused scalable complexity,West Roytown,Male,Czech Republic,31-03-2016 10:44,0
156,44.64,36.0,55787.58,127.01,Up-sized incremental encryption,Codyburgh,Female,Belize,14-02-2016 06:51,1
157,41.73,28.0,61142.33,202.18,Sharable dedicated Graphic Interface,Port Erikhaven,Male,Cuba,07-01-2016 19:16,1
158,80.46,27.0,61625.87,207.96,Digitized zero administration paradigm,Port Chasemouth,Male,Costa Rica,04-02-2016 02:13,0
159,75.55,36.0,73234.87,159.24,Managed grid-enabled standardization,Ramirezside,Female,Liechtenstein,09-05-2016 02:58,1
160,76.32,35.0,74166.24,195.31,Networked foreground definition,East Michaeltown,Male,Korea,23-06-2016 00:16,0
161,82.68,33.0,62669.59,222.77,Re-engineered exuding frame,West Courtney,Male,Ukraine,20-06-2016 09:35,0
162,72.01,31.0,57756.89,251.0,Horizontal multi-state interface,West Michaelhaven,Female,Czech Republic,29-02-2016 12:31,0
163,75.83,24.0,58019.64,162.44,Diverse stable circuit,Walshhaven,Female,Nauru,17-01-2016 15:10,0
164,41.28,50.0,50960.08,140.39,Universal 24/7 implementation,East Rachelview,Female,Equatorial Guinea,29-01-2016 03:54,1
165,34.66,32.0,48246.6,194.83,Customer-focused multi-tasking Internet solution,Curtisport,Female,Mongolia,14-07-2016 12:07,1
166,66.18,55.0,28271.84,143.42,Vision-oriented contextually-based extranet,Frankbury,Female,Svalbard & Jan Mayen Islands,10-01-2016 23:14,1
167,86.06,31.0,53767.12,219.72,Extended local methodology,Timothytown,Male,Timor-Leste,28-04-2016 18:34,0
168,59.59,42.0,43662.1,104.78,Re-engineered demand-driven capacity,Samanthaland,Male,Brazil,06-07-2016 18:36,1
169,86.69,34.0,62238.58,198.56,Customer-focused attitude-oriented instruction set,South Jennifer,Female,Chad,27-05-2016 06:19,0
170,43.77,52.0,49030.03,138.55,Synergized hybrid time-frame,Kyleborough,Male,Portugal,25-01-2016 07:39,1
171,71.84,47.0,76003.47,199.79,Advanced exuding conglomeration,North Randy,Male,Malawi,08-05-2016 22:47,0
172,80.23,31.0,68094.85,196.23,Secured clear-thinking middleware,South Daniellefort,Female,Qatar,19-03-2016 14:23,0
173,74.41,26.0,64395.85,163.05,Right-sized value-added initiative,Dianashire,Female,Singapore,23-07-2016 04:37,0
174,63.36,48.0,70053.27,137.43,Centralized tertiary pricing structure,East Eric,Female,Guinea,23-06-2016 01:22,1
175,71.74,35.0,72423.97,227.56,Multi-channeled reciprocal artificial intelligence,Hammondport,Female,Kazakhstan,19-07-2016 18:06,0
176,60.72,44.0,42995.8,105.69,Synergized context-sensitive database,Jacobstad,Female,Kuwait,28-02-2016 18:52,1
177,72.04,22.0,60309.58,199.43,Realigned systematic function,Hernandezfort,Female,Rwanda,10-02-2016 06:52,0
178,44.57,31.0,38349.78,133.17,Adaptive context-sensitive application,Joneston,Male,China,27-03-2016 09:11,1
179,85.86,34.0,63115.34,208.23,Networked high-level structure,New Jeffreychester,Female,Bouvet Island (Bouvetoya),23-05-2016 02:15,0
180,39.85,38.0,31343.39,145.96,Profit-focused dedicated utilization,East Stephen,Female,Vietnam,03-01-2016 03:22,1
181,84.53,27.0,40763.13,168.34,Stand-alone tangible moderator,Turnerchester,Female,Guatemala,04-01-2016 21:48,1
182,62.95,60.0,36752.24,157.04,Polarized tangible collaboration,Youngfort,Female,Peru,24-05-2016 13:30,1
183,67.58,41.0,65044.59,255.61,Focused high-level conglomeration,Ingramberg,Male,Mayotte,01-02-2016 19:42,0
184,85.56,29.0,53673.08,210.46,Advanced modular Local Area Network,South Denisefurt,Female,Samoa,05-06-2016 13:16,0
185,46.88,54.0,43444.86,136.64,Virtual scalable secured line,Port Melissaberg,Female,Singapore,04-02-2016 08:53,1
186,46.31,57.0,44248.52,153.98,Front-line fault-tolerant intranet,Bernardton,Male,Jamaica,24-03-2016 13:37,1
187,77.95,31.0,62572.88,233.65,Inverse asymmetric instruction set,Port Mathew,Male,Bahamas,02-06-2016 21:02,0
188,84.73,30.0,39840.55,153.76,Synchronized leadingedge help-desk,Aliciatown,Female,Canada,21-02-2016 07:42,1
189,39.86,36.0,32593.59,145.85,Total 5thgeneration standardization,Josephstad,Female,Algeria,26-06-2016 17:16,1
190,50.08,30.0,41629.86,123.91,Sharable grid-enabled matrix,West Ericfurt,Female,Fiji,03-01-2016 05:34,1
191,60.23,35.0,43313.73,106.86,Balanced asynchronous hierarchy,New Brendafurt,Female,Kenya,08-03-2016 18:00,1
192,60.7,49.0,42993.48,110.57,Monitored object-oriented Graphic Interface,Port Julie,Male,Argentina,19-06-2016 03:19,1
193,43.67,53.0,46004.31,143.79,Cloned analyzing artificial intelligence,South Tiffanyton,Male,Bouvet Island (Bouvetoya),21-07-2016 21:16,1
194,77.2,33.0,49325.48,254.05,Persistent homogeneous framework,North Elizabeth,Male,Philippines,12-02-2016 20:36,0
195,71.86,32.0,51633.34,116.53,Face-to-face even-keeled website,Kentmouth,Female,Senegal,17-05-2016 06:14,1
196,44.78,45.0,63363.04,137.24,Extended context-sensitive monitoring,West Casey,Male,Suriname,09-07-2016 11:04,1
197,78.57,36.0,64045.93,239.32,Exclusive client-driven model,East Henry,Male,Liberia,27-03-2016 02:35,0
198,73.41,31.0,73049.3,201.26,Profound executive flexibility,Hollyfurt,Male,Guam,16-01-2016 08:01,0
199,77.05,27.0,66624.6,191.14,Reduced bi-directional strategy,North Anna,Female,United Arab Emirates,21-01-2016 23:48,0
200,84.53,27.0,40763.13,168.34,Stand-alone tangible moderator, ,Female,Guatemala,04-01-2016 21:48,1
201,66.4,40.0,77567.85,214.42,Digitized heuristic solution,Port Destiny,Female,Antigua and Barbuda,05-06-2016 00:29,0
202,69.35,29.0,53431.35,252.77,Seamless 4thgeneration contingency,Ianmouth,Male,Argentina,13-02-2016 15:37,0
203,35.65,40.0,31265.75,172.58,Seamless intangible secured line,North Johntown,Male,Georgia,10-05-2016 07:22,1
204,70.04,31.0,74780.74,183.85,Intuitive radical forecast,Hannahside,Male,Jordan,27-03-2016 03:59,0
205,69.78,29.0,70410.11,218.79,Multi-layered non-volatile Graphical User Interface,Wilsonburgh,Female,Saudi Arabia,24-05-2016 18:35,0
206,58.22,29.0,37345.24,120.9,User-friendly client-server instruction set,North Russellborough,Female,South Africa,11-02-2016 02:40,1
207,76.9,28.0,66107.84,212.67,Synchronized multimedia model,Murphymouth,Female,Croatia,22-04-2016 08:31,0
208,84.08,30.0,62336.39,187.36,Face-to-face intermediate approach,Carterburgh,Male,Fiji,13-01-2016 02:58,0
209,59.51,58.0,39132.64,140.83,Assimilated fault-tolerant hub,Penatown,Female,Australia,16-06-2016 02:01,1
210,40.15,38.0,38745.29,134.88,Exclusive disintermediate task-force,Joechester,Male,Sao Tome and Principe,27-06-2016 18:37,1
211,76.81,28.0,65172.22,217.85,Managed zero tolerance concept,East Paul,Male,Fiji,03-07-2016 12:57,0
212,41.89,38.0,68519.96,163.38,Compatible systemic function,Hartmanchester,Female,Cyprus,03-02-2016 04:21,1
213,76.87,27.0,54774.77,235.35,Configurable fault-tolerant monitoring,Mcdonaldfort,Male,Kyrgyz Republic,29-05-2016 21:17,0
214,67.28,43.0,76246.96,155.8,Future-proofed coherent hardware,North Mercedes,Male,Pakistan,03-04-2016 21:13,1
215,81.98,40.0,65461.92,229.22,Ameliorated upward-trending definition,Taylorberg,Female,Seychelles,15-04-2016 11:51,0
216,66.01,23.0,34127.21,151.95,Front-line tangible alliance,Hansenmouth,Female,Samoa,21-06-2016 03:14,1
217,61.57,53.0,35253.98,125.94,Progressive 24hour forecast,Bradyfurt,Male,Bulgaria,14-03-2016 14:13,1
218,53.3,34.0,44893.71,111.94,Self-enabling optimal initiative,West Jessicahaven,Female,Mauritania,06-05-2016 21:07,1
219,34.87,40.0,59621.02,200.23,Configurable logistical Graphical User Interface,Davilachester,Female,Czech Republic,12-06-2016 17:52,1
220,43.6,38.0,20856.54,170.49,Virtual bandwidth-monitored initiative,North Ricardotown,Female,Chile,11-01-2016 07:36,1
221,77.88,37.0,55353.41,254.57,Multi-tiered human-resource structure,Melissafurt,Female,Poland,02-07-2016 00:24,0
222,75.83,27.0,67516.07,200.59,Managed upward-trending instruction set,East Brianberg,Female,Estonia,04-03-2016 10:13,0
223,49.95,39.0,68737.75,136.59,Cloned object-oriented benchmark,Millerbury,Female,Turkmenistan,24-03-2016 09:12,1
224,60.94,41.0,76893.84,154.97,Fundamental fault-tolerant neural-net,Garciaview,Female,Latvia,14-02-2016 07:30,1
225,89.15,42.0,59886.58,171.07,Phased zero administration success,Townsendfurt,Female,Fiji,25-04-2016 07:30,0
